!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051406      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8933         4749   204.997   185.009     3.061     2.983    -0.023     1.882     4.654     0.182     3.084     2.246    -5.141     3.235    11.878     0.000     0.000     0.000     0.026     0.117     0.017     0.024    -3.102     3.302     0.000     0.000     0.000     0.000    -0.595     1.931     0.000     0.000
     2    31.400GHz    -1         8933         4925   195.855   173.964     2.396     3.580     0.118     1.312     4.847     0.081     2.278     3.305    -7.769     4.870    15.874     0.000     0.000     0.000     0.017     0.147     0.004     0.006    -5.062     5.412     0.000     0.000     0.000     0.000    -0.786     2.564     0.000     0.000
     3    50.300GHz    -1         8933         4913   241.240   234.126     2.459     2.263     0.019     1.091     3.520     0.107     2.439     1.883    -5.356     3.404    11.214     0.000     0.000     0.000     0.051     0.238    -0.021     0.028    -3.168     3.377     0.000     0.000     0.000     0.000    -0.281     0.922     0.000     0.000
     4    52.799GHz     1         8933         4925   256.786   256.555    -0.015     0.541    -0.018     0.274     1.136     0.065     0.003     0.452    -1.156     0.731     1.616     0.000     0.000     0.000     0.009     0.020     0.050     0.052    -0.540     0.578     0.000     0.000     0.000     0.000     0.024     0.079     0.000     0.000
     5    53.595GHz     1         8933         4925   249.816   250.423     0.061     0.300    -0.001     0.175     0.446     0.170     0.062     0.242    -0.292     0.196     0.443     0.000     0.000     0.000    -0.073     0.112     0.001     0.001    -0.024     0.025     0.000     0.000     0.000     0.000     0.007     0.022     0.000     0.000
     6    54.400GHz    -1         8933         8522   232.852   233.114    -2.122     0.676     0.021     0.187     0.249     0.598    -2.143     0.634     0.143     0.241    -1.937     0.000     0.000     0.000    -0.384     0.622     0.038     0.034     0.008     0.012     0.000     0.000     0.000     0.000    -0.010     0.019     0.000     0.000
     7    54.941GHz     1         8933         8930   224.675   224.673    -0.073     0.338     0.001     0.134     0.251     0.285    -0.074     0.313     0.274     0.238    -0.229     0.000     0.000     0.000    -0.116     0.188    -0.006     0.006     0.002     0.004     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8933         8933   217.394   217.394    -0.057     0.267    -0.002     0.132     0.275     0.229    -0.056     0.230    -0.089     0.099     0.186     0.000     0.000     0.000    -0.123     0.190    -0.028     0.031    -0.001     0.002     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     9    57.290GHz     1         8933         8933   211.825   211.825    -0.167     0.248     0.000     0.166     0.340     0.240    -0.167     0.184    -0.058     0.162    -0.065     0.000     0.000     0.000    -0.071     0.112     0.011     0.018     0.011     0.018     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8933         8933   214.789   214.789    -0.043     0.324     0.004     0.186     0.400     0.216    -0.047     0.259    -0.020     0.173    -0.015     0.000     0.000     0.000    -0.040     0.208     0.023     0.026     0.003     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8933         8933   228.863   228.863     0.221     0.390     0.001     0.322     1.000     0.104     0.220     0.216    -0.021     0.167     0.278     0.000     0.000     0.000    -0.046     0.143     0.007     0.013     0.001     0.003     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8932         8932   239.146   239.146     0.322     0.514    -0.009     0.460     1.500     0.094     0.331     0.220    -0.026     0.173     0.399     0.000     0.000     0.000    -0.035     0.128    -0.001     0.002    -0.006     0.010     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8933         4438   240.064   234.274     3.269     4.045     0.173     2.175     5.239     0.218     3.096     3.408    -7.095     4.563    16.840     0.000     0.000     0.000     0.151     0.601    -0.279     0.325    -5.583     5.832     0.000     0.000     0.000     0.000    -0.939     2.900     0.000     0.000
