!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051300      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8692         3909   215.245   190.154     3.123     3.134     0.192     1.884     4.740     0.179     2.931     2.344    -5.227     3.244    11.848     0.000     0.000     0.000     0.016     0.121     0.003     0.004    -2.902     3.169     0.000     0.000     0.000     0.000    -0.808     2.221     0.000     0.000
     2    31.400GHz    -1         8684         4081   205.985   177.878     2.484     3.662     0.250     1.350     4.894     0.083     2.234     3.385    -7.816     4.844    15.866     0.000     0.000     0.000     0.006     0.161    -0.002     0.003    -4.762     5.187     0.000     0.000     0.000     0.000    -1.058     2.945     0.000     0.000
     3    50.300GHz    -1         8692         4071   243.720   235.555     2.507     2.283     0.046     1.100     3.568     0.107     2.461     1.961    -5.392     3.386    11.221     0.000     0.000     0.000     0.049     0.262    -0.030     0.041    -2.975     3.240     0.000     0.000     0.000     0.000    -0.411     1.149     0.000     0.000
     4    52.799GHz     1         8692         4081   256.032   256.580     0.013     0.624    -0.036     0.292     1.194     0.070     0.049     0.516    -1.165     0.730     1.619     0.000     0.000     0.000     0.009     0.022     0.060     0.060    -0.506     0.551     0.000     0.000     0.000     0.000     0.033     0.095     0.000     0.000
     5    53.595GHz     1         8692         4081   248.939   250.226     0.036     0.332    -0.026     0.192     0.477     0.195     0.062     0.259    -0.295     0.197     0.443     0.000     0.000     0.000    -0.074     0.125     0.001     0.001    -0.022     0.024     0.000     0.000     0.000     0.000     0.009     0.026     0.000     0.000
     6    54.400GHz    -1         8684         8165   232.466   232.886    -2.105     0.732    -0.011     0.203     0.272     0.651    -2.094     0.684     0.146     0.246    -1.935     0.000     0.000     0.000    -0.332     0.687     0.041     0.035     0.008     0.013     0.000     0.000     0.000     0.000    -0.022     0.039     0.000     0.000
     7    54.941GHz     1         8692         8690   224.476   224.476    -0.066     0.355    -0.004     0.147     0.256     0.331    -0.062     0.320     0.274     0.239    -0.228     0.000     0.000     0.000    -0.105     0.208    -0.003     0.003     0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8692         8692   217.280   217.280    -0.049     0.287     0.010     0.149     0.275     0.294    -0.058     0.245    -0.090     0.100     0.184     0.000     0.000     0.000    -0.122     0.207    -0.026     0.029    -0.001     0.002     0.000     0.000     0.000     0.000    -0.003     0.014     0.000     0.000
     9    57.290GHz     1         8692         8690   211.601   211.602    -0.139     0.281     0.033     0.200     0.340     0.355    -0.172     0.184    -0.057     0.162    -0.066     0.000     0.000     0.000    -0.071     0.109     0.007     0.011     0.009     0.017     0.000     0.000     0.000     0.000     0.006     0.015     0.000     0.000
    10    57.290GHz     1         8692         8691   214.570   214.578    -0.009     0.361     0.041     0.216     0.400     0.302    -0.049     0.263    -0.021     0.173    -0.014     0.000     0.000     0.000    -0.039     0.212     0.021     0.023     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8691         8686   228.388   228.391     0.238     0.461     0.042     0.377     1.000     0.144     0.196     0.235    -0.024     0.167     0.273     0.000     0.000     0.000    -0.057     0.160     0.003     0.006     0.000     0.001     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    13    57.290GHz     1         8685         8678   238.521   238.532     0.383     0.618     0.070     0.548     1.500     0.136     0.313     0.219    -0.031     0.170     0.395     0.000     0.000     0.000    -0.040     0.129    -0.004     0.007    -0.006     0.011     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8692         3693   242.973   237.638     3.129     4.099     0.113     2.150     5.235     0.211     3.016     3.526    -7.194     4.551    16.852     0.000     0.000     0.000     0.099     0.685    -0.312     0.324    -5.172     5.620     0.000     0.000     0.000     0.000    -1.257     3.322     0.000     0.000
