!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052118      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8950         4815   203.447   184.112     3.327     3.018     0.107     1.865     4.622     0.180     3.219     2.235    -5.057     3.279    11.873     0.000     0.000     0.000     0.017     0.111    -0.010     0.013    -3.199     3.299     0.000     0.000     0.000     0.000    -0.406     1.556     0.000     0.000
     2    31.400GHz    -1         8950         5032   193.697   172.492     2.782     3.753     0.210     1.299     4.825     0.081     2.573     3.415    -7.606     4.924    15.905     0.000     0.000     0.000     0.008     0.150    -0.007     0.010    -5.173     5.395     0.000     0.000     0.000     0.000    -0.555     2.143     0.000     0.000
     3    50.300GHz    -1         8950         5025   240.051   233.774     2.648     2.401     0.077     1.112     3.503     0.114     2.571     2.031    -5.241     3.434    11.235     0.000     0.000     0.000     0.042     0.212    -0.030     0.042    -3.211     3.348     0.000     0.000     0.000     0.000    -0.224     0.869     0.000     0.000
     4    52.799GHz     1         8950         5032   256.179   256.571    -0.005     0.582    -0.007     0.301     1.133     0.080     0.002     0.452    -1.136     0.742     1.618     0.000     0.000     0.000     0.004     0.009     0.054     0.058    -0.547     0.571     0.000     0.000     0.000     0.000     0.010     0.040     0.000     0.000
     5    53.595GHz     1         8950         5032   249.546   250.596     0.060     0.310    -0.000     0.194     0.449     0.209     0.061     0.240    -0.290     0.200     0.442     0.000     0.000     0.000    -0.070     0.116     0.005     0.004    -0.026     0.027     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
     6    54.400GHz    -1         8950         8453   232.881   233.352    -2.150     0.675     0.000     0.216     0.254     0.786    -2.151     0.638     0.138     0.239    -1.959     0.000     0.000     0.000    -0.381     0.651     0.064     0.055     0.003     0.004     0.000     0.000     0.000     0.000    -0.015     0.032     0.000     0.000
     7    54.941GHz     1         8950         8946   224.834   224.833    -0.060     0.350     0.005     0.147     0.252     0.341    -0.065     0.311     0.272     0.236    -0.224     0.000     0.000     0.000    -0.116     0.198     0.003     0.003     0.003     0.004     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     8    55.499GHz     1         8950         8950   217.562   217.562    -0.055     0.285     0.003     0.145     0.275     0.279    -0.058     0.230    -0.090     0.099     0.185     0.000     0.000     0.000    -0.125     0.193    -0.024     0.027    -0.002     0.003     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8950         8950   211.961   211.961    -0.153     0.257     0.017     0.184     0.340     0.294    -0.170     0.189    -0.061     0.163    -0.067     0.000     0.000     0.000    -0.067     0.122     0.011     0.018     0.010     0.016     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8950         8950   214.933   214.933    -0.038     0.328     0.020     0.202     0.400     0.257    -0.058     0.261    -0.022     0.174    -0.017     0.000     0.000     0.000    -0.043     0.212     0.019     0.022     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8947         8947   228.469   228.469     0.205     0.428     0.013     0.339     1.000     0.115     0.192     0.225    -0.027     0.171     0.273     0.000     0.000     0.000    -0.056     0.146     0.000     0.000     0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    13    57.290GHz     1         8946         8946   238.696   238.696     0.335     0.548     0.002     0.492     1.500     0.107     0.333     0.207    -0.030     0.172     0.393     0.000     0.000     0.000    -0.031     0.114     0.006     0.009    -0.005     0.008     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8950         4512   239.193   234.769     3.512     4.180     0.106     2.171     5.210     0.215     3.406     3.673    -6.949     4.610    16.886     0.000     0.000     0.000     0.127     0.746    -0.279     0.324    -5.677     5.771     0.000     0.000     0.000     0.000    -0.701     2.556     0.000     0.000
