!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052118      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8950         4812   203.447   184.947     3.249     2.910     0.125     1.814     4.631     0.171     3.124     2.192    -5.113     3.277    11.873     0.000     0.000     0.000     0.016     0.111    -0.010     0.013    -3.214     3.307     0.000     0.000     0.000     0.000    -0.428     1.595     0.000     0.000
     2    31.400GHz    -1         8950         4992   193.697   172.901     2.647     3.618     0.212     1.280     4.843     0.078     2.435     3.324    -7.672     4.920    15.905     0.000     0.000     0.000     0.007     0.150    -0.007     0.010    -5.217     5.406     0.000     0.000     0.000     0.000    -0.582     2.190     0.000     0.000
     3    50.300GHz    -1         8950         4978   240.051   234.063     2.567     2.342     0.084     1.093     3.513     0.110     2.484     1.978    -5.289     3.434    11.235     0.000     0.000     0.000     0.043     0.212    -0.030     0.042    -3.243     3.355     0.000     0.000     0.000     0.000    -0.232     0.883     0.000     0.000
     4    52.799GHz     1         8950         4992   256.179   256.774    -0.013     0.562     0.001     0.283     1.136     0.070    -0.014     0.447    -1.148     0.743     1.617     0.000     0.000     0.000     0.003     0.008     0.054     0.058    -0.552     0.572     0.000     0.000     0.000     0.000     0.011     0.042     0.000     0.000
     5    53.595GHz     1         8950         4992   249.546   250.735     0.052     0.300    -0.003     0.176     0.450     0.173     0.055     0.241    -0.294     0.201     0.441     0.000     0.000     0.000    -0.071     0.116     0.004     0.004    -0.027     0.028     0.000     0.000     0.000     0.000     0.002     0.007     0.000     0.000
     6    54.400GHz    -1         8950         8425   232.881   233.405    -2.157     0.678    -0.006     0.208     0.254     0.719    -2.152     0.641     0.138     0.239    -1.959     0.000     0.000     0.000    -0.382     0.654     0.064     0.056     0.003     0.004     0.000     0.000     0.000     0.000    -0.016     0.033     0.000     0.000
     7    54.941GHz     1         8950         8947   224.834   224.834    -0.070     0.342     0.003     0.135     0.252     0.286    -0.073     0.315     0.271     0.236    -0.224     0.000     0.000     0.000    -0.115     0.198    -0.007     0.007     0.003     0.004     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     8    55.499GHz     1         8950         8950   217.562   217.562    -0.067     0.268    -0.001     0.130     0.275     0.224    -0.066     0.237    -0.090     0.098     0.184     0.000     0.000     0.000    -0.124     0.193    -0.032     0.036    -0.002     0.003     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8950         8950   211.961   211.961    -0.169     0.250     0.000     0.168     0.340     0.243    -0.169     0.188    -0.061     0.162    -0.067     0.000     0.000     0.000    -0.068     0.123     0.013     0.021     0.010     0.016     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8950         8950   214.933   214.933    -0.058     0.323    -0.000     0.189     0.400     0.223    -0.058     0.262    -0.022     0.174    -0.017     0.000     0.000     0.000    -0.043     0.213     0.019     0.022     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8947         8947   228.469   228.469     0.203     0.391     0.007     0.321     1.000     0.103     0.195     0.224    -0.026     0.170     0.275     0.000     0.000     0.000    -0.057     0.148     0.001     0.003     0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    13    57.290GHz     1         8946         8946   238.696   238.696     0.333     0.504    -0.001     0.458     1.500     0.093     0.334     0.207    -0.030     0.172     0.394     0.000     0.000     0.000    -0.031     0.118     0.006     0.010    -0.005     0.008     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8950         4492   239.193   235.241     3.366     4.078     0.110     2.155     5.221     0.213     3.256     3.571    -7.031     4.613    16.886     0.000     0.000     0.000     0.121     0.744    -0.277     0.322    -5.709     5.781     0.000     0.000     0.000     0.000    -0.734     2.610     0.000     0.000
