!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051018      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8810         4730   202.846   183.895     3.026     2.954    -0.087     1.842     4.613     0.177     3.114     2.227    -5.168     3.269    11.839     0.000     0.000     0.000     0.029     0.122    -0.000     0.001    -3.066     3.261     0.000     0.000     0.000     0.000    -0.519     1.853     0.000     0.000
     2    31.400GHz    -1         8810         4898   193.595   172.957     2.529     3.624     0.104     1.296     4.788     0.082     2.425     3.304    -7.777     4.943    15.860     0.000     0.000     0.000     0.020     0.154    -0.002     0.003    -4.981     5.346     0.000     0.000     0.000     0.000    -0.695     2.492     0.000     0.000
     3    50.300GHz    -1         8810         4891   239.605   233.788     2.537     2.304     0.082     1.079     3.491     0.105     2.455     1.948    -5.361     3.447    11.212     0.000     0.000     0.000     0.029     0.243    -0.037     0.052    -3.115     3.340     0.000     0.000     0.000     0.000    -0.273     0.987     0.000     0.000
     4    52.799GHz     1         8810         4898   255.565   256.119     0.018     0.557     0.007     0.271     1.135     0.063     0.010     0.459    -1.156     0.739     1.620     0.000     0.000     0.000     0.006     0.019     0.054     0.056    -0.528     0.567     0.000     0.000     0.000     0.000     0.015     0.054     0.000     0.000
     5    53.595GHz     1         8810         4898   249.129   250.107     0.078     0.307     0.003     0.176     0.451     0.173     0.075     0.249    -0.291     0.196     0.443     0.000     0.000     0.000    -0.060     0.123     0.001     0.001    -0.022     0.023     0.000     0.000     0.000     0.000     0.004     0.017     0.000     0.000
     6    54.400GHz    -1         8810         8372   232.862   233.212    -2.076     0.714    -0.004     0.184     0.258     0.557    -2.072     0.693     0.141     0.242    -1.934     0.000     0.000     0.000    -0.324     0.696     0.048     0.039     0.011     0.016     0.000     0.000     0.000     0.000    -0.014     0.028     0.000     0.000
     7    54.941GHz     1         8810         8810   225.017   225.017    -0.056     0.345     0.002     0.134     0.252     0.282    -0.058     0.318     0.273     0.239    -0.230     0.000     0.000     0.000    -0.103     0.209     0.001     0.001     0.002     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8810         8810   217.949   217.949    -0.053     0.276    -0.001     0.128     0.275     0.217    -0.052     0.243    -0.089     0.099     0.183     0.000     0.000     0.000    -0.121     0.209    -0.022     0.024    -0.001     0.002     0.000     0.000     0.000     0.000    -0.002     0.010     0.000     0.000
     9    57.290GHz     1         8810         8810   212.329   212.329    -0.181     0.244    -0.004     0.171     0.340     0.254    -0.178     0.175    -0.055     0.158    -0.071     0.000     0.000     0.000    -0.070     0.102     0.007     0.010     0.009     0.016     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8810         8809   215.065   215.066    -0.070     0.323     0.004     0.189     0.400     0.224    -0.073     0.257    -0.020     0.170    -0.020     0.000     0.000     0.000    -0.055     0.212     0.019     0.022     0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8807         8807   227.993   227.993     0.182     0.402    -0.001     0.322     1.000     0.104     0.183     0.235    -0.027     0.168     0.271     0.000     0.000     0.000    -0.076     0.182     0.014     0.024    -0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8804         8804   237.816   237.816     0.308     0.487    -0.014     0.449     1.500     0.090     0.322     0.208    -0.029     0.172     0.396     0.000     0.000     0.000    -0.049     0.130     0.012     0.017    -0.006     0.011     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8810         4413   238.449   234.458     3.331     4.169     0.073     2.167     5.185     0.219     3.258     3.461    -7.144     4.622    16.844     0.000     0.000     0.000     0.168     0.669    -0.292     0.328    -5.491     5.762     0.000     0.000     0.000     0.000    -0.827     2.799     0.000     0.000
