!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052906      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8955         4759   206.376   185.215     3.240     2.943     0.090     1.897     4.606     0.184     3.149     2.204    -5.150     3.269    11.903     0.000     0.000     0.000     0.018     0.076     0.002     0.003    -3.120     3.320     0.000     0.000     0.000     0.000    -0.504     1.720     0.000     0.000
     2    31.400GHz    -1         8955         4928   197.453   173.721     2.645     3.642     0.193     1.313     4.800     0.081     2.452     3.360    -7.748     4.926    15.931     0.000     0.000     0.000     0.013     0.120     0.001     0.002    -5.077     5.401     0.000     0.000     0.000     0.000    -0.669     2.319     0.000     0.000
     3    50.300GHz    -1         8955         4913   242.352   234.175     2.600     2.365     0.048     1.109     3.482     0.112     2.552     1.977    -5.303     3.411    11.238     0.000     0.000     0.000     0.044     0.179    -0.009     0.010    -3.161     3.354     0.000     0.000     0.000     0.000    -0.258     0.900     0.000     0.000
     4    52.799GHz     1         8955         4928   257.134   256.459     0.016     0.559     0.005     0.277     1.122     0.065     0.011     0.456    -1.144     0.733     1.618     0.000     0.000     0.000     0.004     0.008     0.058     0.057    -0.542     0.577     0.000     0.000     0.000     0.000     0.017     0.059     0.000     0.000
     5    53.595GHz     1         8955         4928   249.865   250.259     0.065     0.296     0.002     0.169     0.442     0.156     0.063     0.239    -0.292     0.199     0.443     0.000     0.000     0.000    -0.072     0.114     0.007     0.007    -0.027     0.029     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
     6    54.400GHz    -1         8955         8566   232.703   233.036    -2.157     0.646     0.003     0.199     0.247     0.681    -2.161     0.601     0.139     0.240    -1.965     0.000     0.000     0.000    -0.390     0.609     0.067     0.062     0.001     0.001     0.000     0.000     0.000     0.000    -0.013     0.023     0.000     0.000
     7    54.941GHz     1         8955         8955   224.552   224.552    -0.062     0.333     0.002     0.133     0.251     0.282    -0.064     0.304     0.271     0.237    -0.218     0.000     0.000     0.000    -0.113     0.180    -0.006     0.006     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.001     0.000     0.000
     8    55.499GHz     1         8955         8955   217.309   217.309    -0.048     0.254     0.001     0.130     0.275     0.222    -0.049     0.217    -0.089     0.097     0.185     0.000     0.000     0.000    -0.116     0.176    -0.028     0.032    -0.001     0.002     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     9    57.290GHz     1         8955         8955   211.875   211.875    -0.156     0.244     0.001     0.164     0.340     0.233    -0.157     0.182    -0.060     0.162    -0.058     0.000     0.000     0.000    -0.070     0.120     0.017     0.027     0.010     0.016     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8955         8955   214.756   214.756    -0.046     0.325     0.006     0.191     0.400     0.227    -0.051     0.259    -0.022     0.172    -0.007     0.000     0.000     0.000    -0.049     0.213     0.023     0.027     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8955         8955   228.193   228.193     0.233     0.389     0.012     0.323     1.000     0.104     0.221     0.219    -0.020     0.170     0.290     0.000     0.000     0.000    -0.054     0.131     0.000     0.001     0.003     0.005     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    13    57.290GHz     1         8951         8951   238.303   238.303     0.389     0.502     0.026     0.457     1.500     0.093     0.364     0.211    -0.020     0.178     0.414     0.000     0.000     0.000    -0.037     0.113     0.006     0.010    -0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8955         4394   242.245   235.492     3.577     4.179     0.106     2.198     5.157     0.220     3.472     3.584    -7.049     4.554    16.868     0.000     0.000     0.000     0.165     0.657    -0.191     0.221    -5.486     5.792     0.000     0.000     0.000     0.000    -0.834     2.722     0.000     0.000
