!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052606      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8965         4721   206.250   185.184     3.332     3.117     0.131     1.916     4.624     0.190     3.201     2.320    -5.081     3.293    11.871     0.000     0.000     0.000     0.023     0.099    -0.020     0.028    -3.066     3.362     0.000     0.000     0.000     0.000    -0.527     1.782     0.000     0.000
     2    31.400GHz    -1         8965         4956   197.138   174.015     2.836     3.806     0.226     1.332     4.813     0.086     2.611     3.501    -7.605     4.916    15.906     0.000     0.000     0.000     0.014     0.128    -0.013     0.019    -4.977     5.461     0.000     0.000     0.000     0.000    -0.714     2.451     0.000     0.000
     3    50.300GHz    -1         8965         4948   242.129   234.284     2.698     2.435     0.023     1.108     3.498     0.113     2.675     2.054    -5.216     3.417    11.242     0.000     0.000     0.000     0.041     0.182    -0.012     0.015    -3.099     3.398     0.000     0.000     0.000     0.000    -0.282     0.971     0.000     0.000
     4    52.799GHz     1         8965         4956   257.154   256.631     0.020     0.588    -0.010     0.288     1.132     0.071     0.030     0.476    -1.129     0.738     1.616     0.000     0.000     0.000     0.002     0.005     0.059     0.058    -0.533     0.585     0.000     0.000     0.000     0.000     0.015     0.052     0.000     0.000
     5    53.595GHz     1         8965         4956   249.992   250.470     0.054     0.304    -0.010     0.186     0.446     0.191     0.064     0.244    -0.289     0.202     0.443     0.000     0.000     0.000    -0.076     0.116     0.009     0.008    -0.026     0.029     0.000     0.000     0.000     0.000     0.003     0.010     0.000     0.000
     6    54.400GHz    -1         8965         8584   232.855   233.096    -2.156     0.649     0.018     0.200     0.248     0.684    -2.174     0.606     0.135     0.238    -1.969     0.000     0.000     0.000    -0.392     0.607     0.058     0.053     0.000     0.001     0.000     0.000     0.000     0.000    -0.007     0.012     0.000     0.000
     7    54.941GHz     1         8965         8964   224.639   224.640    -0.061     0.337     0.005     0.144     0.251     0.333    -0.066     0.302     0.270     0.237    -0.223     0.000     0.000     0.000    -0.118     0.183     0.002     0.002     0.002     0.004     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8965         8965   217.332   217.332    -0.039     0.264     0.013     0.145     0.275     0.281    -0.051     0.219    -0.089     0.098     0.184     0.000     0.000     0.000    -0.121     0.180    -0.024     0.027    -0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     9    57.290GHz     1         8965         8963   211.896   211.895    -0.139     0.267     0.025     0.190     0.340     0.319    -0.164     0.186    -0.059     0.162    -0.059     0.000     0.000     0.000    -0.069     0.117     0.009     0.015     0.009     0.017     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8965         8965   214.871   214.871    -0.016     0.336     0.036     0.205     0.400     0.270    -0.052     0.253    -0.020     0.169    -0.009     0.000     0.000     0.000    -0.042     0.200     0.016     0.018     0.003     0.005     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8964         8964   228.784   228.784     0.263     0.444     0.048     0.353     1.000     0.127     0.215     0.239    -0.022     0.168     0.284     0.000     0.000     0.000    -0.047     0.155    -0.004     0.009     0.003     0.005     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    13    57.290GHz     1         8965         8965   238.971   238.971     0.422     0.577     0.081     0.523     1.500     0.124     0.341     0.220    -0.024     0.178     0.407     0.000     0.000     0.000    -0.046     0.129     0.006     0.009    -0.002     0.004     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8965         4416   241.955   235.268     3.625     4.249     0.114     2.181     5.195     0.220     3.511     3.674    -6.921     4.597    16.853     0.000     0.000     0.000     0.164     0.674    -0.226     0.272    -5.466     5.878     0.000     0.000     0.000     0.000    -0.894     2.884     0.000     0.000
