!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050406      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8969         4825   203.780   185.099     3.600     3.280     0.173     1.943     4.618     0.195     3.427     2.427    -5.028     3.296    11.823     0.000     0.000     0.000     0.010     0.041     0.027     0.034    -2.888     3.295     0.000     0.000     0.000     0.000    -0.518     1.786     0.000     0.000
     2    31.400GHz    -1         8969         5052   194.652   174.329     3.207     4.061     0.261     1.321     4.779     0.085     2.946     3.710    -7.518     4.944    15.827     0.000     0.000     0.000     0.016     0.112     0.018     0.024    -4.720     5.423     0.000     0.000     0.000     0.000    -0.678     2.379     0.000     0.000
     3    50.300GHz    -1         8969         5046   240.784   234.356     2.816     2.529     0.033     1.115     3.484     0.114     2.783     2.178    -5.185     3.460    11.208     0.000     0.000     0.000     0.030     0.260    -0.043     0.053    -2.948     3.383     0.000     0.000     0.000     0.000    -0.279     0.983     0.000     0.000
     4    52.799GHz     1         8969         5052   256.254   256.242     0.057     0.597     0.006     0.303     1.137     0.080     0.051     0.480    -1.133     0.754     1.612     0.000     0.000     0.000     0.011     0.032     0.051     0.048    -0.501     0.576     0.000     0.000     0.000     0.000     0.012     0.044     0.000     0.000
     5    53.595GHz     1         8969         5052   249.481   250.212     0.095     0.325     0.012     0.202     0.451     0.228     0.083     0.248    -0.284     0.200     0.444     0.000     0.000     0.000    -0.064     0.120     0.003     0.003    -0.018     0.021     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
     6    54.400GHz    -1         8969         8521   232.902   233.156    -2.043     0.686     0.017     0.199     0.250     0.676    -2.060     0.660     0.149     0.249    -1.908     0.000     0.000     0.000    -0.351     0.654     0.036     0.030     0.021     0.036     0.000     0.000     0.000     0.000    -0.008     0.016     0.000     0.000
     7    54.941GHz     1         8969         8969   224.851   224.851    -0.047     0.350     0.021     0.146     0.251     0.346    -0.068     0.316     0.275     0.240    -0.233     0.000     0.000     0.000    -0.111     0.199     0.002     0.002     0.001     0.002     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8969         8969   217.632   217.632    -0.051     0.294     0.016     0.151     0.275     0.304    -0.067     0.244    -0.092     0.101     0.177     0.000     0.000     0.000    -0.132     0.212    -0.018     0.020    -0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     9    57.290GHz     1         8969         8969   211.987   211.987    -0.156     0.250     0.024     0.184     0.340     0.298    -0.180     0.182    -0.056     0.164    -0.076     0.000     0.000     0.000    -0.060     0.095     0.002     0.003     0.008     0.016     0.000     0.000     0.000     0.000     0.003     0.009     0.000     0.000
    10    57.290GHz     1         8969         8969   214.935   214.935    -0.029     0.324     0.038     0.203     0.400     0.267    -0.067     0.250    -0.023     0.173    -0.024     0.000     0.000     0.000    -0.040     0.196     0.019     0.022     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8969         8969   228.184   228.184     0.211     0.418     0.038     0.337     1.000     0.115     0.174     0.220    -0.028     0.174     0.276     0.000     0.000     0.000    -0.084     0.148     0.011     0.014    -0.000     0.001     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    13    57.290GHz     1         8962         8962   237.729   237.729     0.338     0.528     0.042     0.479     1.500     0.103     0.296     0.205    -0.028     0.175     0.400     0.000     0.000     0.000    -0.073     0.107     0.002     0.002    -0.004     0.009     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8969         4513   239.966   235.073     3.905     4.544     0.077     2.190     5.174     0.223     3.829     3.921    -6.881     4.641    16.843     0.000     0.000     0.000     0.171     0.648    -0.280     0.307    -5.195     5.870     0.000     0.000     0.000     0.000    -0.829     2.738     0.000     0.000
