!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051512      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8972         3995   214.670   190.005     3.282     3.081     0.148     1.866     4.690     0.177     3.134     2.414    -5.181     3.199    11.870     0.000     0.000     0.000     0.012     0.120     0.017     0.020    -2.877     3.237     0.000     0.000     0.000     0.000    -0.706     2.038     0.000     0.000
     2    31.400GHz    -1         8972         4172   205.344   177.889     2.698     3.836     0.265     1.354     4.865     0.083     2.433     3.546    -7.787     4.785    15.872     0.000     0.000     0.000     0.001     0.163     0.008     0.009    -4.706     5.300     0.000     0.000     0.000     0.000    -0.953     2.770     0.000     0.000
     3    50.300GHz    -1         8972         4160   244.448   236.255     2.698     2.379     0.122     1.087     3.539     0.107     2.577     2.043    -5.369     3.353    11.215     0.000     0.000     0.000     0.064     0.255    -0.023     0.027    -2.939     3.303     0.000     0.000     0.000     0.000    -0.371     1.082     0.000     0.000
     4    52.799GHz     1         8972         4173   256.981   257.140     0.046     0.626    -0.003     0.310     1.166     0.078     0.049     0.493    -1.161     0.722     1.616     0.000     0.000     0.000     0.009     0.020     0.058     0.056    -0.502     0.566     0.000     0.000     0.000     0.000     0.028     0.083     0.000     0.000
     5    53.595GHz     1         8972         4173   249.665   250.611     0.050     0.339    -0.003     0.196     0.460     0.201     0.053     0.255    -0.295     0.195     0.441     0.000     0.000     0.000    -0.077     0.118    -0.002     0.001    -0.023     0.026     0.000     0.000     0.000     0.000     0.009     0.027     0.000     0.000
     6    54.400GHz    -1         8972         8533   232.883   233.082    -2.116     0.703    -0.004     0.193     0.260     0.587    -2.112     0.651     0.139     0.237    -1.941     0.000     0.000     0.000    -0.352     0.656     0.046     0.041     0.006     0.011     0.000     0.000     0.000     0.000    -0.011     0.018     0.000     0.000
     7    54.941GHz     1         8972         8970   224.816   224.816    -0.063     0.350     0.003     0.151     0.254     0.348    -0.066     0.310     0.273     0.236    -0.229     0.000     0.000     0.000    -0.107     0.192    -0.005     0.006     0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
     8    55.499GHz     1         8972         8972   217.620   217.620    -0.031     0.283     0.022     0.146     0.275     0.286    -0.053     0.237    -0.090     0.101     0.186     0.000     0.000     0.000    -0.117     0.196    -0.028     0.032    -0.001     0.002     0.000     0.000     0.000     0.000    -0.002     0.013     0.000     0.000
     9    57.290GHz     1         8972         8972   212.190   212.190    -0.141     0.264     0.020     0.190     0.340     0.317    -0.161     0.176    -0.059     0.163    -0.066     0.000     0.000     0.000    -0.063     0.100     0.012     0.019     0.009     0.017     0.000     0.000     0.000     0.000     0.006     0.015     0.000     0.000
    10    57.290GHz     1         8972         8972   215.297   215.297    -0.009     0.342     0.040     0.209     0.400     0.283    -0.049     0.249    -0.021     0.173    -0.015     0.000     0.000     0.000    -0.034     0.190     0.017     0.017     0.002     0.003     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8969         8969   229.136   229.136     0.251     0.453     0.041     0.358     1.000     0.130     0.210     0.222    -0.025     0.166     0.277     0.000     0.000     0.000    -0.053     0.150     0.009     0.015     0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8969         8969   239.456   239.456     0.428     0.568     0.087     0.505     1.500     0.117     0.341     0.211    -0.026     0.172     0.402     0.000     0.000     0.000    -0.031     0.113    -0.000     0.000    -0.004     0.007     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8972         3698   244.427   238.866     3.443     4.331     0.257     2.173     5.203     0.216     3.187     3.688    -7.124     4.459    16.852     0.000     0.000     0.000     0.070     0.643    -0.306     0.310    -5.178     5.673     0.000     0.000     0.000     0.000    -1.127     3.076     0.000     0.000
