!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052106      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8945         4708   205.718   183.752     3.276     2.904     0.099     1.821     4.616     0.172     3.177     2.108    -5.084     3.282    11.870     0.000     0.000     0.000     0.026     0.108    -0.011     0.014    -3.191     3.279     0.000     0.000     0.000     0.000    -0.433     1.598     0.000     0.000
     2    31.400GHz    -1         8945         4872   197.026   172.866     2.762     3.554     0.237     1.285     4.819     0.078     2.525     3.235    -7.614     4.937    15.902     0.000     0.000     0.000     0.019     0.146    -0.006     0.008    -5.187     5.365     0.000     0.000     0.000     0.000    -0.588     2.189     0.000     0.000
     3    50.300GHz    -1         8945         4864   241.821   233.837     2.603     2.312     0.065     1.074     3.494     0.107     2.538     1.909    -5.242     3.444    11.234     0.000     0.000     0.000     0.033     0.202    -0.029     0.038    -3.224     3.329     0.000     0.000     0.000     0.000    -0.233     0.875     0.000     0.000
     4    52.799GHz     1         8945         4872   256.702   256.378     0.001     0.548     0.004     0.284     1.124     0.070    -0.003     0.439    -1.138     0.745     1.619     0.000     0.000     0.000     0.003     0.008     0.049     0.052    -0.548     0.566     0.000     0.000     0.000     0.000     0.011     0.042     0.000     0.000
     5    53.595GHz     1         8945         4872   249.661   250.372     0.056     0.305    -0.002     0.173     0.443     0.167     0.058     0.244    -0.290     0.201     0.441     0.000     0.000     0.000    -0.066     0.116    -0.000     0.000    -0.026     0.027     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
     6    54.400GHz    -1         8945         8392   232.868   233.196    -2.137     0.668    -0.002     0.210     0.248     0.752    -2.135     0.632     0.139     0.240    -1.955     0.000     0.000     0.000    -0.361     0.634     0.053     0.049     0.003     0.005     0.000     0.000     0.000     0.000    -0.015     0.027     0.000     0.000
     7    54.941GHz     1         8945         8944   224.880   224.879    -0.061     0.332     0.004     0.133     0.251     0.280    -0.065     0.309     0.271     0.236    -0.226     0.000     0.000     0.000    -0.109     0.192    -0.002     0.002     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8945         8945   217.720   217.720    -0.055     0.261    -0.003     0.129     0.275     0.220    -0.052     0.229    -0.090     0.098     0.184     0.000     0.000     0.000    -0.119     0.190    -0.025     0.030    -0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     9    57.290GHz     1         8945         8945   212.190   212.190    -0.173     0.253     0.002     0.167     0.340     0.242    -0.175     0.187    -0.060     0.162    -0.068     0.000     0.000     0.000    -0.072     0.123     0.012     0.019     0.009     0.016     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8945         8945   214.989   214.989    -0.066     0.330     0.001     0.190     0.400     0.227    -0.067     0.265    -0.021     0.172    -0.018     0.000     0.000     0.000    -0.052     0.218     0.020     0.024     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8943         8943   228.316   228.316     0.190     0.396    -0.003     0.322     1.000     0.104     0.193     0.235    -0.026     0.172     0.274     0.000     0.000     0.000    -0.060     0.155     0.003     0.006     0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    13    57.290GHz     1         8938         8938   238.368   238.368     0.307     0.506    -0.006     0.459     1.500     0.094     0.313     0.209    -0.028     0.172     0.392     0.000     0.000     0.000    -0.049     0.112     0.002     0.003    -0.005     0.009     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8945         4356   240.858   234.348     3.523     4.138     0.043     2.144     5.185     0.211     3.480     3.490    -6.998     4.615    16.893     0.000     0.000     0.000     0.183     0.722    -0.268     0.310    -5.592     5.768     0.000     0.000     0.000     0.000    -0.740     2.601     0.000     0.000
