!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051206      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8957         4896   203.024   182.799     3.310     3.168     0.014     1.903     4.596     0.189     3.296     2.381    -5.126     3.311    11.852     0.000     0.000     0.000     0.029     0.113     0.001     0.001    -2.975     3.322     0.000     0.000     0.000     0.000    -0.486     1.773     0.000     0.000
     2    31.400GHz    -1         8957         5113   194.216   172.587     2.914     3.954     0.174     1.314     4.770     0.084     2.740     3.648    -7.654     4.933    15.869     0.000     0.000     0.000     0.021     0.144    -0.002     0.002    -4.848     5.460     0.000     0.000     0.000     0.000    -0.646     2.379     0.000     0.000
     3    50.300GHz    -1         8957         5105   240.491   233.564     2.688     2.483     0.018     1.082     3.471     0.107     2.670     2.136    -5.288     3.465    11.222     0.000     0.000     0.000     0.041     0.221    -0.025     0.034    -3.034     3.407     0.000     0.000     0.000     0.000    -0.244     0.904     0.000     0.000
     4    52.799GHz     1         8957         5113   256.218   255.967     0.019     0.592    -0.009     0.293     1.119     0.077     0.028     0.486    -1.149     0.751     1.620     0.000     0.000     0.000     0.007     0.019     0.048     0.050    -0.514     0.579     0.000     0.000     0.000     0.000     0.017     0.062     0.000     0.000
     5    53.595GHz     1         8957         5113   249.382   249.914     0.065     0.314    -0.002     0.188     0.442     0.200     0.068     0.247    -0.293     0.204     0.443     0.000     0.000     0.000    -0.067     0.116     0.004     0.003    -0.022     0.025     0.000     0.000     0.000     0.000     0.003     0.012     0.000     0.000
     6    54.400GHz    -1         8957         8530   232.608   232.888    -2.121     0.686    -0.006     0.194     0.249     0.641    -2.115     0.660     0.143     0.244    -1.937     0.000     0.000     0.000    -0.369     0.653     0.048     0.042     0.009     0.014     0.000     0.000     0.000     0.000    -0.009     0.018     0.000     0.000
     7    54.941GHz     1         8957         8957   224.548   224.548    -0.062     0.346     0.005     0.144     0.251     0.330    -0.067     0.316     0.274     0.240    -0.231     0.000     0.000     0.000    -0.115     0.199     0.003     0.003     0.002     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8957         8957   217.324   217.324    -0.047     0.283     0.010     0.145     0.275     0.279    -0.058     0.239    -0.090     0.100     0.184     0.000     0.000     0.000    -0.129     0.204    -0.020     0.023    -0.001     0.003     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     9    57.290GHz     1         8957         8957   211.653   211.653    -0.154     0.268     0.025     0.184     0.340     0.298    -0.178     0.185    -0.057     0.162    -0.067     0.000     0.000     0.000    -0.074     0.106     0.006     0.009     0.010     0.019     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8957         8957   214.410   214.410    -0.024     0.349     0.042     0.203     0.400     0.268    -0.066     0.264    -0.021     0.173    -0.017     0.000     0.000     0.000    -0.053     0.214     0.021     0.022     0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8956         8956   227.597   227.597     0.194     0.425     0.011     0.350     1.000     0.123     0.183     0.227    -0.026     0.169     0.271     0.000     0.000     0.000    -0.071     0.168     0.009     0.016    -0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    13    57.290GHz     1         8947         8947   237.463   237.463     0.298     0.558    -0.016     0.506     1.500     0.114     0.314     0.203    -0.029     0.172     0.397     0.000     0.000     0.000    -0.052     0.117     0.006     0.008    -0.006     0.012     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8957         4564   239.247   233.713     3.750     4.495     0.146     2.198     5.177     0.220     3.604     3.851    -6.994     4.650    16.846     0.000     0.000     0.000     0.181     0.655    -0.285     0.320    -5.373     5.893     0.000     0.000     0.000     0.000    -0.772     2.674     0.000     0.000
