!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051906      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8950         4660   204.754   184.307     3.220     2.958     0.103     1.839     4.638     0.173     3.117     2.211    -5.123     3.303    11.849     0.000     0.000     0.000     0.026     0.112    -0.006     0.007    -3.143     3.390     0.000     0.000     0.000     0.000    -0.485     1.710     0.000     0.000
     2    31.400GHz    -1         8950         4819   195.995   173.447     2.729     3.629     0.232     1.300     4.849     0.079     2.498     3.364    -7.624     4.911    15.880     0.000     0.000     0.000     0.017     0.157    -0.002     0.003    -5.117     5.524     0.000     0.000     0.000     0.000    -0.656     2.329     0.000     0.000
     3    50.300GHz    -1         8950         4810   241.090   233.947     2.605     2.306     0.057     1.057     3.513     0.101     2.549     1.963    -5.264     3.444    11.230     0.000     0.000     0.000     0.043     0.212    -0.025     0.032    -3.179     3.428     0.000     0.000     0.000     0.000    -0.257     0.918     0.000     0.000
     4    52.799GHz     1         8950         4819   256.214   256.267     0.002     0.555    -0.002     0.275     1.133     0.065     0.003     0.454    -1.141     0.745     1.619     0.000     0.000     0.000     0.005     0.011     0.050     0.052    -0.543     0.586     0.000     0.000     0.000     0.000     0.013     0.048     0.000     0.000
     5    53.595GHz     1         8950         4819   249.279   250.195     0.059     0.303     0.000     0.173     0.446     0.166     0.059     0.246    -0.291     0.203     0.445     0.000     0.000     0.000    -0.071     0.115    -0.001     0.001    -0.025     0.027     0.000     0.000     0.000     0.000     0.002     0.009     0.000     0.000
     6    54.400GHz    -1         8950         8463   232.425   232.766    -2.126     0.657     0.005     0.196     0.250     0.652    -2.130     0.631     0.141     0.241    -1.944     0.000     0.000     0.000    -0.370     0.627     0.044     0.041     0.005     0.008     0.000     0.000     0.000     0.000    -0.006     0.011     0.000     0.000
     7    54.941GHz     1         8950         8949   224.332   224.332    -0.064     0.333     0.001     0.133     0.251     0.282    -0.066     0.306     0.270     0.236    -0.225     0.000     0.000     0.000    -0.112     0.188    -0.002     0.002     0.002     0.004     0.000     0.000     0.000     0.000    -0.000     0.000     0.000     0.000
     8    55.499GHz     1         8950         8950   217.100   217.100    -0.055     0.262    -0.001     0.131     0.275     0.226    -0.054     0.228    -0.090     0.099     0.185     0.000     0.000     0.000    -0.120     0.186    -0.028     0.033    -0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     9    57.290GHz     1         8950         8950   211.550   211.550    -0.172     0.245    -0.002     0.165     0.340     0.235    -0.171     0.184    -0.060     0.161    -0.068     0.000     0.000     0.000    -0.071     0.118     0.015     0.021     0.009     0.016     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8950         8950   214.412   214.412    -0.062     0.320     0.003     0.188     0.400     0.222    -0.064     0.259    -0.022     0.171    -0.017     0.000     0.000     0.000    -0.047     0.205     0.018     0.019     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8950         8950   227.683   227.683     0.171     0.402    -0.013     0.321     1.000     0.103     0.184     0.243    -0.025     0.170     0.277     0.000     0.000     0.000    -0.071     0.160    -0.000     0.001     0.003     0.005     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8944         8944   237.591   237.591     0.302     0.508    -0.014     0.456     1.500     0.093     0.316     0.216    -0.028     0.171     0.397     0.000     0.000     0.000    -0.052     0.123     0.001     0.002    -0.001     0.002     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8950         4318   240.392   234.948     3.635     4.267     0.222     2.142     5.231     0.210     3.413     3.601    -6.938     4.582    16.894     0.000     0.000     0.000     0.161     0.692    -0.270     0.304    -5.619     5.907     0.000     0.000     0.000     0.000    -0.815     2.731     0.000     0.000
