!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052200      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8956         4198   214.186   190.427     3.039     3.149     0.046     1.864     4.722     0.176     2.994     2.306    -5.226     3.236    11.881     0.000     0.000     0.000     0.017     0.111    -0.007     0.009    -2.913     3.241     0.000     0.000     0.000     0.000    -0.757     2.057     0.000     0.000
     2    31.400GHz    -1         8956         4346   205.339   178.728     2.481     3.752     0.172     1.388     4.892     0.088     2.309     3.439    -7.824     4.845    15.908     0.000     0.000     0.000     0.004     0.148    -0.007     0.009    -4.719     5.289     0.000     0.000     0.000     0.000    -1.053     2.865     0.000     0.000
     3    50.300GHz    -1         8956         4333   243.991   236.191     2.487     2.356    -0.031     1.133     3.558     0.115     2.518     2.040    -5.402     3.395    11.238     0.000     0.000     0.000     0.058     0.209    -0.028     0.036    -2.934     3.283     0.000     0.000     0.000     0.000    -0.413     1.129     0.000     0.000
     4    52.799GHz     1         8956         4346   256.298   256.823     0.022     0.604     0.004     0.291     1.185     0.069     0.018     0.497    -1.175     0.737     1.617     0.000     0.000     0.000     0.004     0.008     0.056     0.056    -0.500     0.560     0.000     0.000     0.000     0.000     0.015     0.041     0.000     0.000
     5    53.595GHz     1         8956         4346   249.015   250.220     0.041     0.308    -0.001     0.179     0.470     0.165     0.042     0.241    -0.301     0.202     0.442     0.000     0.000     0.000    -0.079     0.113     0.005     0.004    -0.024     0.027     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     6    54.400GHz    -1         8956         8378   232.176   232.718    -2.182     0.660    -0.011     0.193     0.266     0.603    -2.171     0.625     0.139     0.241    -1.957     0.000     0.000     0.000    -0.381     0.628     0.047     0.042     0.002     0.004     0.000     0.000     0.000     0.000    -0.022     0.038     0.000     0.000
     7    54.941GHz     1         8956         8955   224.011   224.010    -0.073     0.337    -0.001     0.136     0.255     0.289    -0.072     0.308     0.272     0.236    -0.224     0.000     0.000     0.000    -0.117     0.189    -0.004     0.004     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     8    55.499GHz     1         8956         8956   216.598   216.598    -0.067     0.263     0.000     0.131     0.275     0.226    -0.067     0.227    -0.090     0.098     0.185     0.000     0.000     0.000    -0.126     0.183    -0.031     0.035    -0.001     0.003     0.000     0.000     0.000     0.000    -0.003     0.013     0.000     0.000
     9    57.290GHz     1         8956         8956   210.812   210.812    -0.176     0.253    -0.001     0.169     0.340     0.247    -0.175     0.190    -0.061     0.161    -0.067     0.000     0.000     0.000    -0.072     0.123     0.011     0.017     0.008     0.015     0.000     0.000     0.000     0.000     0.006     0.015     0.000     0.000
    10    57.290GHz     1         8956         8956   213.773   213.773    -0.054     0.328     0.003     0.192     0.400     0.230    -0.057     0.268    -0.021     0.172    -0.016     0.000     0.000     0.000    -0.040     0.217     0.016     0.018     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8955         8955   227.427   227.427     0.189     0.392    -0.000     0.327     1.000     0.107     0.189     0.219    -0.027     0.170     0.274     0.000     0.000     0.000    -0.064     0.144     0.003     0.005     0.001     0.002     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    13    57.290GHz     1         8953         8953   237.391   237.391     0.314     0.515    -0.000     0.466     1.500     0.096     0.314     0.209    -0.030     0.175     0.394     0.000     0.000     0.000    -0.055     0.122     0.008     0.011    -0.003     0.007     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8956         3931   243.129   238.129     3.021     4.220    -0.134     2.165     5.216     0.218     3.155     3.634    -7.149     4.547    16.886     0.000     0.000     0.000     0.111     0.738    -0.277     0.315    -5.136     5.711     0.000     0.000     0.000     0.000    -1.279     3.308     0.000     0.000
