!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050518      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8950         4822   202.702   184.513     3.270     2.960     0.055     1.841     4.595     0.178     3.215     2.243    -5.085     3.259    11.841     0.000     0.000     0.000     0.015     0.077     0.030     0.038    -3.145     3.305     0.000     0.000     0.000     0.000    -0.442     1.679     0.000     0.000
     2    31.400GHz    -1         8950         4964   192.683   172.703     2.703     3.650     0.190     1.282     4.799     0.079     2.513     3.381    -7.636     4.901    15.851     0.000     0.000     0.000     0.010     0.135     0.018     0.024    -5.144     5.428     0.000     0.000     0.000     0.000    -0.586     2.249     0.000     0.000
     3    50.300GHz    -1         8950         4954   239.411   233.980     2.585     2.324     0.042     1.090     3.482     0.109     2.543     1.978    -5.258     3.423    11.218     0.000     0.000     0.000     0.058     0.246    -0.036     0.045    -3.208     3.378     0.000     0.000     0.000     0.000    -0.230     0.890     0.000     0.000
     4    52.799GHz     1         8950         4964   255.786   256.522     0.013     0.552     0.002     0.280     1.116     0.067     0.011     0.442    -1.146     0.743     1.618     0.000     0.000     0.000     0.013     0.030     0.056     0.054    -0.542     0.572     0.000     0.000     0.000     0.000     0.013     0.050     0.000     0.000
     5    53.595GHz     1         8950         4964   249.280   250.406     0.078     0.295     0.002     0.172     0.440     0.169     0.075     0.240    -0.286     0.196     0.446     0.000     0.000     0.000    -0.071     0.115     0.004     0.003    -0.020     0.021     0.000     0.000     0.000     0.000     0.002     0.010     0.000     0.000
     6    54.400GHz    -1         8950         8459   232.758   233.144    -2.055     0.707     0.021     0.188     0.255     0.588    -2.077     0.661     0.147     0.247    -1.917     0.000     0.000     0.000    -0.357     0.659     0.039     0.031     0.021     0.031     0.000     0.000     0.000     0.000    -0.010     0.020     0.000     0.000
     7    54.941GHz     1         8950         8950   224.675   224.675    -0.061     0.340    -0.002     0.137     0.252     0.295    -0.059     0.313     0.274     0.242    -0.231     0.000     0.000     0.000    -0.109     0.197     0.006     0.006     0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     8    55.499GHz     1         8950         8950   217.434   217.434    -0.062     0.278     0.002     0.132     0.275     0.230    -0.065     0.245    -0.091     0.102     0.177     0.000     0.000     0.000    -0.129     0.213    -0.018     0.021    -0.002     0.004     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8950         8949   211.824   211.825    -0.171     0.251     0.002     0.174     0.340     0.263    -0.172     0.178    -0.057     0.162    -0.074     0.000     0.000     0.000    -0.058     0.091     0.004     0.006     0.009     0.017     0.000     0.000     0.000     0.000     0.003     0.010     0.000     0.000
    10    57.290GHz     1         8950         8950   214.890   214.890    -0.062     0.315     0.001     0.191     0.400     0.227    -0.063     0.246    -0.023     0.170    -0.025     0.000     0.000     0.000    -0.031     0.188     0.014     0.015     0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8950         8950   229.070   229.070     0.211     0.392     0.001     0.318     1.000     0.101     0.210     0.228    -0.028     0.170     0.274     0.000     0.000     0.000    -0.042     0.147     0.006     0.009    -0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    13    57.290GHz     1         8947         8947   239.471   239.471     0.330     0.501    -0.004     0.455     1.500     0.092     0.334     0.206    -0.030     0.175     0.398     0.000     0.000     0.000    -0.030     0.102     0.002     0.003    -0.006     0.010     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8950         4489   238.476   234.945     3.502     4.219     0.105     2.170     5.209     0.218     3.397     3.605    -6.962     4.598    16.867     0.000     0.000     0.000     0.138     0.665    -0.258     0.283    -5.691     5.874     0.000     0.000     0.000     0.000    -0.696     2.534     0.000     0.000
