!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051506      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8950         4810   204.002   183.300     3.349     3.095     0.036     1.861     4.612     0.181     3.313     2.267    -5.090     3.290    11.871     0.000     0.000     0.000     0.032     0.115     0.015     0.019    -3.016     3.330     0.000     0.000     0.000     0.000    -0.498     1.751     0.000     0.000
     2    31.400GHz    -1         8950         4989   195.362   173.048     2.851     3.758     0.216     1.294     4.794     0.083     2.635     3.437    -7.665     4.949    15.870     0.000     0.000     0.000     0.024     0.150     0.005     0.007    -4.932     5.453     0.000     0.000     0.000     0.000    -0.666     2.365     0.000     0.000
     3    50.300GHz    -1         8950         4980   240.646   233.471     2.588     2.309    -0.049     1.070     3.484     0.104     2.637     1.970    -5.290     3.463    11.219     0.000     0.000     0.000     0.040     0.233    -0.018     0.023    -3.077     3.399     0.000     0.000     0.000     0.000    -0.238     0.852     0.000     0.000
     4    52.799GHz     1         8950         4989   256.093   255.824    -0.002     0.576    -0.033     0.286     1.127     0.070     0.031     0.469    -1.142     0.745     1.618     0.000     0.000     0.000     0.007     0.019     0.050     0.052    -0.525     0.581     0.000     0.000     0.000     0.000     0.023     0.081     0.000     0.000
     5    53.595GHz     1         8950         4989   249.225   249.794     0.060     0.311    -0.010     0.186     0.445     0.190     0.070     0.247    -0.290     0.201     0.441     0.000     0.000     0.000    -0.064     0.114     0.001     0.001    -0.024     0.026     0.000     0.000     0.000     0.000     0.005     0.019     0.000     0.000
     6    54.400GHz    -1         8950         8565   232.429   232.686    -2.113     0.675    -0.003     0.213     0.248     0.771    -2.110     0.651     0.143     0.244    -1.939     0.000     0.000     0.000    -0.352     0.640     0.039     0.036     0.007     0.011     0.000     0.000     0.000     0.000    -0.007     0.013     0.000     0.000
     7    54.941GHz     1         8950         8950   224.394   224.394    -0.056     0.346     0.013     0.144     0.251     0.330    -0.069     0.313     0.273     0.238    -0.231     0.000     0.000     0.000    -0.108     0.190    -0.006     0.006     0.002     0.004     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
     8    55.499GHz     1         8950         8950   217.224   217.224    -0.043     0.277     0.007     0.146     0.275     0.281    -0.050     0.232    -0.088     0.100     0.185     0.000     0.000     0.000    -0.120     0.192    -0.025     0.029    -0.001     0.002     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     9    57.290GHz     1         8950         8950   211.599   211.599    -0.160     0.268     0.016     0.187     0.340     0.306    -0.175     0.188    -0.057     0.162    -0.066     0.000     0.000     0.000    -0.080     0.122     0.014     0.021     0.010     0.018     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8950         8950   214.328   214.328    -0.032     0.341     0.031     0.206     0.400     0.271    -0.063     0.265    -0.018     0.171    -0.014     0.000     0.000     0.000    -0.053     0.215     0.019     0.020     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8950         8950   227.577   227.577     0.229     0.412     0.029     0.340     1.000     0.116     0.200     0.220    -0.021     0.167     0.278     0.000     0.000     0.000    -0.070     0.153     0.010     0.019     0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8946         8946   237.465   237.465     0.357     0.554     0.033     0.490     1.500     0.107     0.323     0.227    -0.024     0.173     0.402     0.000     0.000     0.000    -0.050     0.141    -0.000     0.001    -0.004     0.006     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8950         4444   239.293   233.655     3.598     4.260     0.089     2.179     5.205     0.218     3.509     3.631    -6.939     4.655    16.850     0.000     0.000     0.000     0.170     0.588    -0.275     0.308    -5.494     5.878     0.000     0.000     0.000     0.000    -0.803     2.681     0.000     0.000
