!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052100      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8835         3989   215.912   191.862     2.931     2.974     0.112     1.809     4.734     0.164     2.819     2.171    -5.246     3.227    11.862     0.000     0.000     0.000     0.007     0.121    -0.015     0.019    -3.041     3.271     0.000     0.000     0.000     0.000    -0.748     2.040     0.000     0.000
     2    31.400GHz    -1         8835         4108   206.789   179.107     2.289     3.554     0.213     1.351     4.930     0.080     2.076     3.261    -7.847     4.824    15.900     0.000     0.000     0.000    -0.007     0.163    -0.007     0.008    -4.932     5.338     0.000     0.000     0.000     0.000    -1.031     2.832     0.000     0.000
     3    50.300GHz    -1         8835         4101   244.314   236.559     2.343     2.265    -0.047     1.117     3.576     0.109     2.390     1.922    -5.411     3.377    11.240     0.000     0.000     0.000     0.068     0.213    -0.033     0.042    -3.059     3.308     0.000     0.000     0.000     0.000    -0.414     1.145     0.000     0.000
     4    52.799GHz     1         8835         4111   256.162   257.121    -0.010     0.599    -0.016     0.285     1.186     0.068     0.006     0.495    -1.176     0.733     1.618     0.000     0.000     0.000     0.005     0.009     0.056     0.057    -0.521     0.564     0.000     0.000     0.000     0.000     0.024     0.068     0.000     0.000
     5    53.595GHz     1         8835         4111   248.835   250.445     0.032     0.305    -0.004     0.182     0.471     0.172     0.037     0.242    -0.301     0.201     0.441     0.000     0.000     0.000    -0.083     0.111     0.003     0.002    -0.025     0.027     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
     6    54.400GHz    -1         8835         8249   232.118   232.626    -2.148     0.667    -0.003     0.195     0.272     0.606    -2.145     0.628     0.141     0.241    -1.954     0.000     0.000     0.000    -0.360     0.639     0.051     0.045     0.003     0.005     0.000     0.000     0.000     0.000    -0.027     0.046     0.000     0.000
     7    54.941GHz     1         8835         8835   224.051   224.051    -0.066     0.338    -0.000     0.137     0.256     0.290    -0.066     0.310     0.273     0.237    -0.226     0.000     0.000     0.000    -0.111     0.195    -0.003     0.003     0.002     0.004     0.000     0.000     0.000     0.000    -0.002     0.004     0.000     0.000
     8    55.499GHz     1         8835         8835   216.781   216.781    -0.056     0.262    -0.000     0.131     0.275     0.226    -0.056     0.228    -0.091     0.099     0.185     0.000     0.000     0.000    -0.120     0.189    -0.026     0.030    -0.001     0.003     0.000     0.000     0.000     0.000    -0.003     0.014     0.000     0.000
     9    57.290GHz     1         8835         8835   211.183   211.183    -0.170     0.251     0.003     0.171     0.340     0.254    -0.172     0.186    -0.062     0.161    -0.068     0.000     0.000     0.000    -0.068     0.116     0.011     0.017     0.008     0.015     0.000     0.000     0.000     0.000     0.006     0.015     0.000     0.000
    10    57.290GHz     1         8835         8835   214.175   214.175    -0.059     0.322    -0.002     0.192     0.400     0.229    -0.057     0.262    -0.022     0.172    -0.018     0.000     0.000     0.000    -0.037     0.208     0.016     0.017     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8832         8832   227.991   227.991     0.193     0.404    -0.001     0.327     1.000     0.107     0.194     0.233    -0.027     0.175     0.274     0.000     0.000     0.000    -0.058     0.156     0.003     0.005     0.001     0.002     0.000     0.000     0.000     0.000     0.002     0.004     0.000     0.000
    13    57.290GHz     1         8832         8832   238.068   238.068     0.306     0.499    -0.015     0.457     1.500     0.093     0.321     0.211    -0.029     0.174     0.393     0.000     0.000     0.000    -0.043     0.121     0.004     0.005    -0.004     0.008     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8835         3722   243.395   238.821     2.806     4.034    -0.101     2.136     5.251     0.208     2.907     3.504    -7.129     4.549    16.905     0.000     0.000     0.000     0.061     0.813    -0.313     0.326    -5.342     5.747     0.000     0.000     0.000     0.000    -1.274     3.320     0.000     0.000
