!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052112      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8972         4335   211.591   187.881     3.059     3.019    -0.015     1.841     4.683     0.171     3.074     2.249    -5.236     3.274    11.877     0.000     0.000     0.000     0.016     0.100    -0.009     0.012    -2.976     3.307     0.000     0.000     0.000     0.000    -0.597     1.851     0.000     0.000
     2    31.400GHz    -1         8972         4478   202.761   175.962     2.586     3.584     0.155     1.314     4.856     0.080     2.431     3.319    -7.833     4.876    15.906     0.000     0.000     0.000     0.004     0.140    -0.006     0.008    -4.829     5.381     0.000     0.000     0.000     0.000    -0.812     2.535     0.000     0.000
     3    50.300GHz    -1         8972         4470   243.331   235.204     2.550     2.326     0.025     1.141     3.526     0.120     2.525     1.980    -5.417     3.416    11.235     0.000     0.000     0.000     0.060     0.202    -0.031     0.039    -3.000     3.339     0.000     0.000     0.000     0.000    -0.323     1.017     0.000     0.000
     4    52.799GHz     1         8972         4478   256.410   256.587    -0.004     0.580    -0.007     0.278     1.157     0.066     0.004     0.474    -1.176     0.741     1.618     0.000     0.000     0.000     0.004     0.009     0.054     0.054    -0.511     0.569     0.000     0.000     0.000     0.000     0.015     0.046     0.000     0.000
     5    53.595GHz     1         8972         4478   249.210   250.150     0.046     0.300     0.003     0.171     0.458     0.159     0.043     0.240    -0.303     0.202     0.442     0.000     0.000     0.000    -0.078     0.112     0.005     0.004    -0.025     0.027     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
     6    54.400GHz    -1         8972         8501   232.370   232.661    -2.143     0.656    -0.010     0.182     0.263     0.534    -2.133     0.637     0.141     0.241    -1.956     0.000     0.000     0.000    -0.358     0.642     0.052     0.047     0.002     0.004     0.000     0.000     0.000     0.000    -0.014     0.026     0.000     0.000
     7    54.941GHz     1         8972         8970   224.273   224.273    -0.057     0.336     0.004     0.137     0.254     0.293    -0.061     0.306     0.273     0.236    -0.224     0.000     0.000     0.000    -0.112     0.193     0.003     0.003     0.002     0.004     0.000     0.000     0.000     0.000    -0.002     0.005     0.000     0.000
     8    55.499GHz     1         8972         8972   216.996   216.996    -0.051     0.260     0.002     0.132     0.275     0.229    -0.053     0.222    -0.091     0.099     0.185     0.000     0.000     0.000    -0.121     0.186    -0.023     0.027    -0.002     0.003     0.000     0.000     0.000     0.000    -0.003     0.011     0.000     0.000
     9    57.290GHz     1         8972         8972   211.350   211.350    -0.174     0.255     0.003     0.168     0.340     0.243    -0.177     0.187    -0.061     0.163    -0.067     0.000     0.000     0.000    -0.074     0.117     0.011     0.017     0.008     0.015     0.000     0.000     0.000     0.000     0.006     0.014     0.000     0.000
    10    57.290GHz     1         8972         8972   214.178   214.178    -0.057     0.332     0.005     0.192     0.400     0.231    -0.062     0.268    -0.021     0.174    -0.017     0.000     0.000     0.000    -0.048     0.218     0.020     0.022     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8972         8972   227.516   227.516     0.181     0.404     0.000     0.329     1.000     0.109     0.181     0.240    -0.027     0.171     0.273     0.000     0.000     0.000    -0.068     0.163     0.000     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.002     0.004     0.000     0.000
    13    57.290GHz     1         8965         8965   237.477   237.477     0.322     0.518     0.006     0.473     1.500     0.099     0.316     0.217    -0.030     0.173     0.393     0.000     0.000     0.000    -0.051     0.129     0.008     0.010    -0.004     0.008     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8972         3967   242.824   237.234     3.256     4.199     0.014     2.174     5.208     0.219     3.242     3.584    -7.172     4.559    16.888     0.000     0.000     0.000     0.111     0.716    -0.257     0.285    -5.306     5.773     0.000     0.000     0.000     0.000    -1.022     3.006     0.000     0.000
