!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052206      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8955         4719   205.837   185.075     3.323     3.083     0.134     1.865     4.646     0.180     3.189     2.282    -5.132     3.283    11.882     0.000     0.000     0.000     0.022     0.122    -0.010     0.013    -3.066     3.286     0.000     0.000     0.000     0.000    -0.508     1.750     0.000     0.000
     2    31.400GHz    -1         8955         4932   196.694   173.881     2.771     3.774     0.221     1.310     4.836     0.083     2.549     3.423    -7.660     4.894    15.908     0.000     0.000     0.000     0.012     0.148    -0.009     0.012    -5.020     5.364     0.000     0.000     0.000     0.000    -0.682     2.382     0.000     0.000
     3    50.300GHz    -1         8955         4923   241.793   234.318     2.616     2.368     0.045     1.079     3.509     0.104     2.572     2.009    -5.292     3.431    11.233     0.000     0.000     0.000     0.043     0.198    -0.026     0.032    -3.122     3.329     0.000     0.000     0.000     0.000    -0.264     0.929     0.000     0.000
     4    52.799GHz     1         8955         4932   256.797   256.520    -0.002     0.571    -0.001     0.293     1.137     0.075    -0.001     0.458    -1.150     0.744     1.617     0.000     0.000     0.000     0.003     0.008     0.051     0.052    -0.532     0.568     0.000     0.000     0.000     0.000     0.009     0.033     0.000     0.000
     5    53.595GHz     1         8955         4932   249.720   250.361     0.051     0.316    -0.006     0.193     0.448     0.208     0.057     0.240    -0.295     0.203     0.442     0.000     0.000     0.000    -0.068     0.112     0.004     0.004    -0.026     0.027     0.000     0.000     0.000     0.000    -0.000     0.000     0.000     0.000
     6    54.400GHz    -1         8955         8475   232.843   233.169    -2.129     0.667     0.019     0.212     0.247     0.772    -2.148     0.630     0.136     0.239    -1.961     0.000     0.000     0.000    -0.362     0.626     0.048     0.044     0.002     0.003     0.000     0.000     0.000     0.000    -0.011     0.020     0.000     0.000
     7    54.941GHz     1         8955         8955   224.804   224.804    -0.057     0.344     0.008     0.145     0.251     0.338    -0.065     0.308     0.271     0.236    -0.224     0.000     0.000     0.000    -0.110     0.190    -0.004     0.004     0.002     0.004     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8955         8955   217.636   217.636    -0.047     0.279     0.006     0.150     0.275     0.299    -0.053     0.228    -0.090     0.098     0.185     0.000     0.000     0.000    -0.116     0.184    -0.030     0.035    -0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     9    57.290GHz     1         8955         8954   212.155   212.156    -0.158     0.267     0.017     0.188     0.340     0.309    -0.174     0.185    -0.060     0.161    -0.067     0.000     0.000     0.000    -0.072     0.120     0.011     0.017     0.009     0.017     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8955         8955   214.995   214.995    -0.051     0.333     0.015     0.210     0.400     0.276    -0.066     0.264    -0.021     0.172    -0.016     0.000     0.000     0.000    -0.049     0.214     0.016     0.020     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8955         8955   228.454   228.454     0.211     0.427     0.014     0.338     1.000     0.114     0.197     0.231    -0.027     0.169     0.274     0.000     0.000     0.000    -0.057     0.155     0.003     0.006     0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    13    57.290GHz     1         8954         8954   238.632   238.632     0.366     0.542     0.040     0.481     1.500     0.103     0.326     0.206    -0.030     0.174     0.394     0.000     0.000     0.000    -0.041     0.114     0.006     0.009    -0.004     0.008     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8955         4440   241.255   235.030     3.592     4.199     0.208     2.181     5.211     0.215     3.384     3.629    -6.989     4.597    16.871     0.000     0.000     0.000     0.153     0.724    -0.275     0.320    -5.533     5.739     0.000     0.000     0.000     0.000    -0.843     2.788     0.000     0.000
