!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052512      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8982         4431   210.862   187.199     2.841     2.828    -0.040     1.831     4.698     0.170     2.881     2.111    -5.334     3.281    11.870     0.000     0.000     0.000     0.018     0.115    -0.024     0.032    -3.001     3.286     0.000     0.000     0.000     0.000    -0.649     1.973     0.000     0.000
     2    31.400GHz    -1         8982         4566   202.298   175.657     2.267     3.369     0.133     1.337     4.875     0.081     2.134     3.109    -7.997     4.893    15.908     0.000     0.000     0.000     0.005     0.139    -0.014     0.019    -4.877     5.354     0.000     0.000     0.000     0.000    -0.893     2.722     0.000     0.000
     3    50.300GHz    -1         8982         4553   243.019   234.917     2.435     2.131     0.051     1.109     3.539     0.112     2.385     1.796    -5.495     3.401    11.241     0.000     0.000     0.000     0.054     0.194    -0.015     0.019    -3.040     3.332     0.000     0.000     0.000     0.000    -0.362     1.117     0.000     0.000
     4    52.799GHz     1         8982         4566   256.255   256.331    -0.006     0.553     0.006     0.272     1.162     0.062    -0.012     0.459    -1.187     0.732     1.616     0.000     0.000     0.000     0.003     0.006     0.062     0.063    -0.522     0.573     0.000     0.000     0.000     0.000     0.016     0.051     0.000     0.000
     5    53.595GHz     1         8982         4566   249.089   249.915     0.059     0.300     0.005     0.175     0.459     0.166     0.054     0.241    -0.303     0.200     0.444     0.000     0.000     0.000    -0.074     0.119     0.008     0.007    -0.026     0.028     0.000     0.000     0.000     0.000     0.005     0.017     0.000     0.000
     6    54.400GHz    -1         8982         8508   232.315   232.540    -2.123     0.663    -0.011     0.191     0.261     0.591    -2.112     0.645     0.140     0.240    -1.960     0.000     0.000     0.000    -0.339     0.647     0.050     0.045     0.001     0.002     0.000     0.000     0.000     0.000    -0.006     0.011     0.000     0.000
     7    54.941GHz     1         8982         8980   224.295   224.295    -0.050     0.334     0.004     0.136     0.254     0.291    -0.054     0.304     0.272     0.236    -0.224     0.000     0.000     0.000    -0.106     0.194     0.004     0.004     0.002     0.004     0.000     0.000     0.000     0.000    -0.002     0.006     0.000     0.000
     8    55.499GHz     1         8982         8982   217.085   217.085    -0.046     0.262     0.002     0.131     0.275     0.228    -0.048     0.225    -0.090     0.099     0.185     0.000     0.000     0.000    -0.118     0.190    -0.021     0.025    -0.002     0.003     0.000     0.000     0.000     0.000    -0.002     0.011     0.000     0.000
     9    57.290GHz     1         8982         8982   211.435   211.435    -0.170     0.257     0.002     0.169     0.340     0.246    -0.173     0.191    -0.061     0.165    -0.060     0.000     0.000     0.000    -0.079     0.123     0.012     0.017     0.009     0.016     0.000     0.000     0.000     0.000     0.006     0.014     0.000     0.000
    10    57.290GHz     1         8982         8982   214.220   214.220    -0.064     0.337    -0.001     0.194     0.400     0.236    -0.062     0.272    -0.021     0.173    -0.011     0.000     0.000     0.000    -0.053     0.226     0.019     0.021     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8982         8982   226.959   226.959     0.173     0.412    -0.004     0.332     1.000     0.111     0.177     0.246    -0.022     0.167     0.283     0.000     0.000     0.000    -0.086     0.165    -0.003     0.005     0.003     0.005     0.000     0.000     0.000     0.000     0.003     0.006     0.000     0.000
    13    57.290GHz     1         8977         8977   236.473   236.473     0.326     0.516     0.005     0.478     1.500     0.101     0.321     0.214    -0.025     0.174     0.405     0.000     0.000     0.000    -0.065     0.118     0.007     0.011    -0.002     0.004     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8982         4078   242.185   236.406     3.198     3.948     0.148     2.145     5.225     0.212     3.050     3.342    -7.263     4.550    16.867     0.000     0.000     0.000     0.114     0.720    -0.252     0.289    -5.324     5.768     0.000     0.000     0.000     0.000    -1.092     3.145     0.000     0.000
