!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052912      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8963         4283   211.868   185.959     3.425     2.964     0.195     1.858     4.649     0.177     3.231     2.191    -5.198     3.291    11.907     0.000     0.000     0.000     0.016     0.081     0.009     0.012    -2.932     3.262     0.000     0.000     0.000     0.000    -0.571     1.811     0.000     0.000
     2    31.400GHz    -1         8963         4454   203.493   175.378     2.848     3.554     0.279     1.338     4.816     0.084     2.569     3.251    -7.807     4.925    15.932     0.000     0.000     0.000     0.010     0.129     0.004     0.006    -4.782     5.314     0.000     0.000     0.000     0.000    -0.788     2.502     0.000     0.000
     3    50.300GHz    -1         8963         4449   243.832   234.628     2.743     2.215     0.111     1.102     3.501     0.110     2.633     1.892    -5.352     3.413    11.240     0.000     0.000     0.000     0.041     0.184    -0.010     0.013    -2.974     3.301     0.000     0.000     0.000     0.000    -0.312     1.000     0.000     0.000
     4    52.799GHz     1         8963         4455   256.501   255.836     0.037     0.586     0.004     0.302     1.151     0.075     0.033     0.455    -1.156     0.735     1.618     0.000     0.000     0.000     0.003     0.008     0.057     0.059    -0.511     0.567     0.000     0.000     0.000     0.000     0.020     0.066     0.000     0.000
     5    53.595GHz     1         8963         4455   249.190   249.532     0.060     0.327    -0.007     0.198     0.456     0.211     0.067     0.241    -0.296     0.200     0.443     0.000     0.000     0.000    -0.066     0.117     0.007     0.007    -0.026     0.028     0.000     0.000     0.000     0.000     0.004     0.015     0.000     0.000
     6    54.400GHz    -1         8963         8385   232.323   232.540    -2.147     0.661    -0.017     0.208     0.259     0.712    -2.130     0.627     0.139     0.239    -1.962     0.000     0.000     0.000    -0.356     0.641     0.058     0.057     0.001     0.001     0.000     0.000     0.000     0.000    -0.009     0.017     0.000     0.000
     7    54.941GHz     1         8963         8961   224.252   224.251    -0.055     0.345     0.006     0.151     0.254     0.358    -0.061     0.309     0.273     0.237    -0.218     0.000     0.000     0.000    -0.111     0.189    -0.006     0.007     0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     8    55.499GHz     1         8963         8963   216.960   216.960    -0.045     0.284     0.014     0.154     0.275     0.315    -0.059     0.231    -0.089     0.098     0.185     0.000     0.000     0.000    -0.121     0.187    -0.031     0.036    -0.001     0.002     0.000     0.000     0.000     0.000    -0.002     0.011     0.000     0.000
     9    57.290GHz     1         8963         8961   211.259   211.261    -0.145     0.278     0.018     0.197     0.340     0.340    -0.163     0.185    -0.061     0.163    -0.058     0.000     0.000     0.000    -0.077     0.126     0.020     0.028     0.008     0.016     0.000     0.000     0.000     0.000     0.005     0.014     0.000     0.000
    10    57.290GHz     1         8963         8963   214.063   214.063    -0.025     0.354     0.028     0.213     0.400     0.288    -0.053     0.271    -0.022     0.172    -0.007     0.000     0.000     0.000    -0.055     0.229     0.026     0.028     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8963         8963   227.030   227.030     0.198     0.461    -0.008     0.379     1.000     0.144     0.206     0.230    -0.020     0.171     0.290     0.000     0.000     0.000    -0.069     0.147     0.000     0.001     0.003     0.005     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    13    57.290GHz     1         8958         8958   236.707   236.707     0.308     0.599    -0.037     0.548     1.500     0.134     0.345     0.219    -0.020     0.179     0.414     0.000     0.000     0.000    -0.057     0.124     0.008     0.012    -0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8963         4028   243.501   235.566     3.792     4.004     0.230     2.122     5.161     0.208     3.562     3.478    -7.072     4.562    16.866     0.000     0.000     0.000     0.153     0.739    -0.235     0.261    -5.196     5.687     0.000     0.000     0.000     0.000    -0.954     2.882     0.000     0.000
