!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050712      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         4377         1802   215.945   194.361     2.983     3.012     0.332     1.953     4.872     0.192     2.651     2.242    -5.315     3.218    11.839     0.000     0.000     0.000     0.012     0.090     0.031     0.036    -2.944     3.305     0.000     0.000     0.000     0.000    -0.971     2.363     0.000     0.000
     2    31.400GHz    -1         4377         1912   206.448   181.116     2.280     3.490     0.369     1.423     5.055     0.091     1.912     3.241    -7.844     4.755    15.860     0.000     0.000     0.000    -0.001     0.150     0.020     0.025    -4.850     5.438     0.000     0.000     0.000     0.000    -1.273     3.165     0.000     0.000
     3    50.300GHz    -1         4377         1908   243.209   237.331     2.364     2.194     0.099     1.143     3.663     0.115     2.266     1.874    -5.442     3.366    11.221     0.000     0.000     0.000     0.060     0.268    -0.035     0.042    -3.025     3.386     0.000     0.000     0.000     0.000    -0.514     1.281     0.000     0.000
     4    52.799GHz     1         4377         1912   255.289   257.590     0.005     0.584    -0.011     0.290     1.216     0.066     0.016     0.499    -1.192     0.738     1.619     0.000     0.000     0.000     0.011     0.028     0.064     0.059    -0.510     0.572     0.000     0.000     0.000     0.000     0.024     0.061     0.000     0.000
     5    53.595GHz     1         4377         1912   248.320   250.913     0.056     0.318    -0.001     0.192     0.477     0.182     0.057     0.259    -0.302     0.200     0.445     0.000     0.000     0.000    -0.072     0.127    -0.002     0.002    -0.019     0.021     0.000     0.000     0.000     0.000     0.007     0.017     0.000     0.000
     6    54.400GHz    -1         4377         4131   232.504   232.884    -1.925     0.775     0.002     0.196     0.261     0.612    -1.928     0.734     0.148     0.248    -1.917     0.000     0.000     0.000    -0.213     0.732     0.050     0.041     0.015     0.026     0.000     0.000     0.000     0.000    -0.011     0.018     0.000     0.000
     7    54.941GHz     1         4377         4376   225.072   225.073    -0.004     0.359     0.010     0.144     0.252     0.330    -0.014     0.331     0.280     0.244    -0.230     0.000     0.000     0.000    -0.070     0.214     0.004     0.003     0.001     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         4377         4377   218.517   218.517    -0.005     0.299     0.016     0.149     0.275     0.297    -0.020     0.252    -0.091     0.103     0.180     0.000     0.000     0.000    -0.089     0.222    -0.017     0.020    -0.001     0.003     0.000     0.000     0.000     0.000    -0.002     0.007     0.000     0.000
     9    57.290GHz     1         4377         4377   213.425   213.425    -0.150     0.262     0.033     0.190     0.340     0.322    -0.183     0.179    -0.059     0.162    -0.074     0.000     0.000     0.000    -0.067     0.092     0.005     0.009     0.007     0.016     0.000     0.000     0.000     0.000     0.005     0.012     0.000     0.000
    10    57.290GHz     1         4377         4377   216.166   216.166    -0.040     0.332     0.039     0.212     0.400     0.290    -0.079     0.248    -0.022     0.174    -0.025     0.000     0.000     0.000    -0.049     0.186     0.015     0.017     0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         4377         4377   229.857   229.857     0.229     0.419     0.033     0.344     1.000     0.119     0.195     0.228    -0.032     0.174     0.267     0.000     0.000     0.000    -0.044     0.154     0.006     0.009    -0.001     0.003     0.000     0.000     0.000     0.000    -0.000     0.000     0.000     0.000
    13    57.290GHz     1         4373         4373   240.212   240.212     0.382     0.521     0.067     0.472     1.500     0.101     0.315     0.210    -0.034     0.179     0.392     0.000     0.000     0.000    -0.038     0.113     0.004     0.006    -0.007     0.014     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         4377         1742   242.113   240.439     2.839     3.978     0.073     2.156     5.395     0.208     2.765     3.533    -7.117     4.506    16.884     0.000     0.000     0.000     0.078     0.705    -0.287     0.298    -5.271     5.923     0.000     0.000     0.000     0.000    -1.521     3.586     0.000     0.000
