!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050100      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8770         4040   213.319   188.327     3.272     2.966     0.197     1.840     4.727     0.172     3.075     2.222    -5.097     3.245    11.800     0.000     0.000     0.000     0.002     0.009     0.022     0.028    -2.946     3.251     0.000     0.000     0.000     0.000    -0.705     2.016     0.000     0.000
     2    31.400GHz    -1         8770         4177   204.141   176.681     2.614     3.568     0.260     1.329     4.904     0.081     2.354     3.296    -7.709     4.888    15.806     0.000     0.000     0.000     0.010     0.099     0.019     0.025    -4.827     5.353     0.000     0.000     0.000     0.000    -0.944     2.717     0.000     0.000
     3    50.300GHz    -1         8770         4168   242.530   235.059     2.540     2.315     0.072     1.119     3.566     0.111     2.468     1.943    -5.316     3.414    11.203     0.000     0.000     0.000     0.036     0.255    -0.045     0.059    -3.030     3.345     0.000     0.000     0.000     0.000    -0.380     1.101     0.000     0.000
     4    52.799GHz     1         8770         4177   255.505   256.607     0.004     0.601    -0.012     0.302     1.178     0.076     0.015     0.486    -1.162     0.746     1.607     0.000     0.000     0.000     0.010     0.029     0.052     0.052    -0.521     0.578     0.000     0.000     0.000     0.000     0.029     0.086     0.000     0.000
     5    53.595GHz     1         8770         4177   248.765   250.438     0.063     0.321    -0.011     0.195     0.465     0.204     0.074     0.246    -0.290     0.196     0.437     0.000     0.000     0.000    -0.066     0.120     0.005     0.004    -0.020     0.023     0.000     0.000     0.000     0.000     0.009     0.026     0.000     0.000
     6    54.400GHz    -1         8770         8109   232.712   232.986    -1.957     0.700    -0.012     0.187     0.266     0.539    -1.945     0.672     0.167     0.254    -1.879     0.000     0.000     0.000    -0.279     0.645     0.005     0.005     0.028     0.048     0.000     0.000     0.000     0.000     0.013     0.024     0.000     0.000
     7    54.941GHz     1         8770         8770   224.785   224.785    -0.050     0.358     0.010     0.147     0.255     0.335    -0.060     0.322     0.275     0.239    -0.233     0.000     0.000     0.000    -0.098     0.209    -0.004     0.004     0.001     0.001     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     8    55.499GHz     1         8770         8770   217.676   217.676    -0.050     0.297     0.021     0.152     0.275     0.312    -0.071     0.259    -0.093     0.102     0.175     0.000     0.000     0.000    -0.122     0.223    -0.025     0.028    -0.002     0.005     0.000     0.000     0.000     0.000    -0.003     0.012     0.000     0.000
     9    57.290GHz     1         8770         8770   211.961   211.961    -0.157     0.269     0.020     0.196     0.340     0.337    -0.177     0.185    -0.056     0.169    -0.072     0.000     0.000     0.000    -0.061     0.091     0.000     0.001     0.007     0.015     0.000     0.000     0.000     0.000     0.005     0.012     0.000     0.000
    10    57.290GHz     1         8770         8770   214.882   214.882    -0.047     0.330     0.019     0.211     0.400     0.279    -0.066     0.251    -0.025     0.175    -0.023     0.000     0.000     0.000    -0.039     0.197     0.020     0.018    -0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8770         8770   228.436   228.436     0.184     0.437     0.013     0.351     1.000     0.123     0.171     0.217    -0.033     0.175     0.268     0.000     0.000     0.000    -0.058     0.134    -0.001     0.001    -0.002     0.005     0.000     0.000     0.000     0.000    -0.002     0.004     0.000     0.000
    13    57.290GHz     1         8768         8768   238.576   238.576     0.340     0.544     0.031     0.490     1.500     0.107     0.310     0.208    -0.036     0.179     0.390     0.000     0.000     0.000    -0.038     0.106     0.003     0.004    -0.007     0.016     0.000     0.000     0.000     0.000    -0.002     0.005     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8770         3790   240.843   236.108     3.321     4.117     0.070     2.153     5.271     0.211     3.251     3.567    -7.004     4.587    16.857     0.000     0.000     0.000     0.162     0.743    -0.315     0.343    -5.286     5.827     0.000     0.000     0.000     0.000    -1.163     3.185     0.000     0.000
