!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019053018      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8783         4498   204.182   184.600     3.240     2.950    -0.009     1.910     4.603     0.189     3.250     2.187    -5.230     3.244    11.906     0.000     0.000     0.000     0.015     0.066     0.002     0.003    -3.009     3.347     0.000     0.000     0.000     0.000    -0.434     1.579     0.000     0.000
     2    31.400GHz    -1         8783         4688   195.233   173.268     2.755     3.701     0.178     1.325     4.782     0.084     2.577     3.388    -7.899     4.923    15.933     0.000     0.000     0.000     0.011     0.113     0.003     0.005    -4.874     5.457     0.000     0.000     0.000     0.000    -0.598     2.180     0.000     0.000
     3    50.300GHz    -1         8783         4672   240.780   234.346     2.717     2.356     0.103     1.093     3.476     0.112     2.614     1.969    -5.401     3.393    11.238     0.000     0.000     0.000     0.051     0.171    -0.010     0.014    -3.030     3.386     0.000     0.000     0.000     0.000    -0.234     0.864     0.000     0.000
     4    52.799GHz     1         8783         4688   256.102   256.689     0.032     0.557     0.015     0.281     1.126     0.069     0.017     0.440    -1.165     0.729     1.621     0.000     0.000     0.000     0.004     0.007     0.055     0.057    -0.517     0.578     0.000     0.000     0.000     0.000     0.018     0.067     0.000     0.000
     5    53.595GHz     1         8783         4688   249.225   250.365     0.051     0.293     0.002     0.173     0.445     0.166     0.048     0.234    -0.296     0.196     0.443     0.000     0.000     0.000    -0.080     0.108     0.004     0.004    -0.026     0.029     0.000     0.000     0.000     0.000     0.004     0.014     0.000     0.000
     6    54.400GHz    -1         8783         8322   232.365   232.787    -2.164     0.651     0.009     0.199     0.258     0.651    -2.173     0.603     0.138     0.239    -1.969     0.000     0.000     0.000    -0.385     0.603     0.054     0.049     0.001     0.001     0.000     0.000     0.000     0.000    -0.013     0.026     0.000     0.000
     7    54.941GHz     1         8783         8782   224.249   224.249    -0.066     0.331     0.001     0.135     0.252     0.285    -0.067     0.302     0.271     0.236    -0.219     0.000     0.000     0.000    -0.111     0.175    -0.008     0.008     0.002     0.004     0.000     0.000     0.000     0.000    -0.002     0.006     0.000     0.000
     8    55.499GHz     1         8783         8783   216.994   216.994    -0.050     0.251     0.000     0.131     0.275     0.228    -0.050     0.213    -0.089     0.098     0.185     0.000     0.000     0.000    -0.117     0.173    -0.026     0.031    -0.001     0.002     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8783         8783   211.536   211.536    -0.162     0.257     0.002     0.170     0.340     0.251    -0.165     0.189    -0.061     0.164    -0.057     0.000     0.000     0.000    -0.073     0.120     0.013     0.022     0.009     0.016     0.000     0.000     0.000     0.000     0.005     0.013     0.000     0.000
    10    57.290GHz     1         8783         8783   214.324   214.324    -0.051     0.326     0.005     0.189     0.400     0.223    -0.056     0.263    -0.022     0.173    -0.005     0.000     0.000     0.000    -0.056     0.215     0.022     0.026     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8781         8781   227.638   227.638     0.234     0.396     0.006     0.330     1.000     0.109     0.228     0.222    -0.019     0.169     0.293     0.000     0.000     0.000    -0.051     0.136    -0.001     0.001     0.003     0.006     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    13    57.290GHz     1         8780         8780   237.831   237.831     0.379     0.508     0.007     0.467     1.500     0.097     0.372     0.207    -0.021     0.178     0.419     0.000     0.000     0.000    -0.033     0.110     0.006     0.010    -0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8783         4164   240.278   235.494     3.682     4.268     0.173     2.214     5.164     0.229     3.509     3.546    -7.179     4.561    16.843     0.000     0.000     0.000     0.162     0.657    -0.191     0.223    -5.369     5.862     0.000     0.000     0.000     0.000    -0.756     2.594     0.000     0.000
