!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052300      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8805         4076   211.782   188.028     3.081     3.053     0.100     1.803     4.726     0.162     2.980     2.255    -5.190     3.242    11.887     0.000     0.000     0.000     0.022     0.129    -0.014     0.017    -3.066     3.263     0.000     0.000     0.000     0.000    -0.659     1.971     0.000     0.000
     2    31.400GHz    -1         8805         4222   202.894   176.152     2.416     3.609     0.241     1.324     4.922     0.077     2.175     3.300    -7.820     4.884    15.911     0.000     0.000     0.000     0.008     0.157    -0.013     0.017    -5.008     5.329     0.000     0.000     0.000     0.000    -0.902     2.726     0.000     0.000
     3    50.300GHz    -1         8805         4215   242.949   235.224     2.453     2.264     0.063     1.073     3.572     0.103     2.390     1.917    -5.389     3.405    11.231     0.000     0.000     0.000     0.055     0.211    -0.025     0.032    -3.115     3.307     0.000     0.000     0.000     0.000    -0.367     1.116     0.000     0.000
     4    52.799GHz     1         8805         4222   256.269   257.000    -0.007     0.563    -0.003     0.276     1.176     0.063    -0.004     0.451    -1.167     0.735     1.617     0.000     0.000     0.000     0.004     0.008     0.059     0.058    -0.530     0.564     0.000     0.000     0.000     0.000     0.013     0.041     0.000     0.000
     5    53.595GHz     1         8805         4222   249.214   250.631     0.043     0.298    -0.000     0.174     0.465     0.161     0.044     0.236    -0.297     0.198     0.442     0.000     0.000     0.000    -0.084     0.114     0.007     0.006    -0.026     0.027     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
     6    54.400GHz    -1         8805         8290   232.469   232.930    -2.160     0.662    -0.012     0.193     0.264     0.611    -2.148     0.620     0.137     0.239    -1.959     0.000     0.000     0.000    -0.363     0.629     0.050     0.044     0.002     0.004     0.000     0.000     0.000     0.000    -0.016     0.029     0.000     0.000
     7    54.941GHz     1         8805         8805   224.371   224.371    -0.070     0.330    -0.006     0.138     0.255     0.295    -0.064     0.302     0.269     0.235    -0.223     0.000     0.000     0.000    -0.113     0.190     0.002     0.002     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     8    55.499GHz     1         8805         8805   217.056   217.056    -0.062     0.262    -0.001     0.132     0.275     0.230    -0.060     0.226    -0.090     0.099     0.185     0.000     0.000     0.000    -0.123     0.186    -0.028     0.033    -0.002     0.003     0.000     0.000     0.000     0.000    -0.003     0.014     0.000     0.000
     9    57.290GHz     1         8805         8805   211.342   211.342    -0.175     0.253    -0.001     0.167     0.340     0.241    -0.174     0.191    -0.062     0.163    -0.066     0.000     0.000     0.000    -0.074     0.124     0.014     0.021     0.008     0.016     0.000     0.000     0.000     0.000     0.006     0.014     0.000     0.000
    10    57.290GHz     1         8805         8805   214.244   214.244    -0.057     0.328     0.001     0.190     0.400     0.226    -0.058     0.265    -0.022     0.173    -0.017     0.000     0.000     0.000    -0.043     0.214     0.021     0.023     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8803         8803   227.981   227.981     0.206     0.385     0.004     0.321     1.000     0.103     0.202     0.207    -0.027     0.168     0.275     0.000     0.000     0.000    -0.055     0.128     0.006     0.009     0.001     0.002     0.000     0.000     0.000     0.000     0.002     0.004     0.000     0.000
    13    57.290GHz     1         8804         8804   238.113   238.113     0.322     0.504    -0.008     0.463     1.500     0.095     0.330     0.204    -0.029     0.174     0.393     0.000     0.000     0.000    -0.041     0.113     0.011     0.017    -0.004     0.007     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8805         3801   241.880   236.901     3.111     4.155     0.088     2.139     5.253     0.210     3.023     3.552    -7.184     4.558    16.869     0.000     0.000     0.000     0.125     0.720    -0.272     0.296    -5.415     5.715     0.000     0.000     0.000     0.000    -1.100     3.154     0.000     0.000
