!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050618      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8825         4710   203.247   184.696     3.289     2.919    -0.002     1.817     4.601     0.171     3.291     2.204    -5.043     3.287    11.846     0.000     0.000     0.000     0.016     0.093     0.031     0.040    -3.092     3.319     0.000     0.000     0.000     0.000    -0.467     1.706     0.000     0.000
     2    31.400GHz    -1         8825         4876   193.727   173.220     2.751     3.604     0.178     1.289     4.801     0.080     2.573     3.293    -7.618     4.980    15.860     0.000     0.000     0.000     0.012     0.143     0.019     0.026    -5.068     5.441     0.000     0.000     0.000     0.000    -0.631     2.330     0.000     0.000
     3    50.300GHz    -1         8825         4862   239.682   234.034     2.673     2.267     0.083     1.106     3.488     0.111     2.589     1.915    -5.246     3.465    11.220     0.000     0.000     0.000     0.051     0.248    -0.032     0.043    -3.163     3.385     0.000     0.000     0.000     0.000    -0.240     0.901     0.000     0.000
     4    52.799GHz     1         8825         4876   255.462   256.143     0.029     0.537     0.003     0.278     1.127     0.067     0.026     0.439    -1.141     0.751     1.619     0.000     0.000     0.000     0.011     0.027     0.056     0.059    -0.533     0.572     0.000     0.000     0.000     0.000     0.014     0.053     0.000     0.000
     5    53.595GHz     1         8825         4876   248.946   250.050     0.082     0.297     0.001     0.177     0.447     0.173     0.081     0.240    -0.285     0.196     0.446     0.000     0.000     0.000    -0.067     0.114     0.003     0.003    -0.019     0.020     0.000     0.000     0.000     0.000     0.003     0.011     0.000     0.000
     6    54.400GHz    -1         8825         8308   232.535   232.965    -2.057     0.690     0.020     0.188     0.255     0.589    -2.077     0.665     0.145     0.248    -1.919     0.000     0.000     0.000    -0.346     0.660     0.035     0.029     0.018     0.028     0.000     0.000     0.000     0.000    -0.009     0.019     0.000     0.000
     7    54.941GHz     1         8825         8823   224.524   224.524    -0.061     0.343     0.002     0.134     0.252     0.282    -0.063     0.314     0.273     0.241    -0.231     0.000     0.000     0.000    -0.107     0.199     0.001     0.001     0.001     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8825         8824   217.344   217.345    -0.063     0.277    -0.001     0.130     0.275     0.224    -0.062     0.244    -0.090     0.101     0.178     0.000     0.000     0.000    -0.125     0.209    -0.021     0.024    -0.002     0.003     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8825         8825   211.697   211.697    -0.182     0.246    -0.003     0.171     0.340     0.253    -0.179     0.178    -0.057     0.161    -0.075     0.000     0.000     0.000    -0.065     0.098     0.006     0.009     0.009     0.016     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8825         8825   214.543   214.543    -0.073     0.316    -0.003     0.191     0.400     0.228    -0.071     0.251    -0.023     0.171    -0.025     0.000     0.000     0.000    -0.043     0.198     0.019     0.021     0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8824         8824   228.339   228.339     0.192     0.389    -0.009     0.325     1.000     0.105     0.201     0.225    -0.031     0.170     0.270     0.000     0.000     0.000    -0.046     0.146     0.009     0.013    -0.001     0.002     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    13    57.290GHz     1         8822         8822   238.644   238.644     0.316     0.508    -0.011     0.463     1.500     0.095     0.327     0.213    -0.031     0.176     0.395     0.000     0.000     0.000    -0.033     0.111     0.004     0.006    -0.007     0.013     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8825         4353   238.717   235.293     3.626     4.193     0.217     2.182     5.199     0.221     3.408     3.552    -6.989     4.647    16.868     0.000     0.000     0.000     0.136     0.687    -0.279     0.315    -5.561     5.881     0.000     0.000     0.000     0.000    -0.766     2.661     0.000     0.000
