!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051100      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8782         4209   211.884   189.156     3.124     3.112     0.116     1.851     4.674     0.175     3.008     2.385    -5.199     3.278    11.827     0.000     0.000     0.000     0.016     0.124    -0.005     0.006    -2.918     3.288     0.000     0.000     0.000     0.000    -0.713     2.100     0.000     0.000
     2    31.400GHz    -1         8782         4361   202.443   176.855     2.642     3.768     0.255     1.329     4.842     0.084     2.387     3.522    -7.759     4.892    15.854     0.000     0.000     0.000     0.006     0.155    -0.004     0.006    -4.744     5.382     0.000     0.000     0.000     0.000    -0.965     2.868     0.000     0.000
     3    50.300GHz    -1         8782         4352   242.627   235.417     2.582     2.362     0.036     1.125     3.526     0.114     2.546     2.012    -5.351     3.422    11.217     0.000     0.000     0.000     0.054     0.235    -0.035     0.047    -2.971     3.352     0.000     0.000     0.000     0.000    -0.368     1.098     0.000     0.000
     4    52.799GHz     1         8782         4361   255.962   256.718     0.021     0.598    -0.021     0.299     1.161     0.075     0.041     0.477    -1.159     0.738     1.620     0.000     0.000     0.000     0.008     0.018     0.055     0.058    -0.502     0.570     0.000     0.000     0.000     0.000     0.020     0.059     0.000     0.000
     5    53.595GHz     1         8782         4361   249.013   250.362     0.039     0.321    -0.020     0.194     0.461     0.205     0.059     0.247    -0.294     0.198     0.443     0.000     0.000     0.000    -0.076     0.118     0.001     0.001    -0.021     0.024     0.000     0.000     0.000     0.000     0.006     0.017     0.000     0.000
     6    54.400GHz    -1         8782         8277   232.547   232.886    -2.091     0.724     0.001     0.197     0.261     0.631    -2.091     0.680     0.142     0.241    -1.938     0.000     0.000     0.000    -0.346     0.694     0.060     0.050     0.010     0.016     0.000     0.000     0.000     0.000    -0.019     0.034     0.000     0.000
     7    54.941GHz     1         8782         8781   224.573   224.572    -0.061     0.354    -0.001     0.149     0.256     0.347    -0.060     0.319     0.275     0.239    -0.230     0.000     0.000     0.000    -0.107     0.208     0.001     0.001     0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8782         8782   217.407   217.407    -0.048     0.290     0.007     0.151     0.275     0.302    -0.055     0.244    -0.090     0.100     0.183     0.000     0.000     0.000    -0.122     0.211    -0.022     0.025    -0.001     0.002     0.000     0.000     0.000     0.000    -0.003     0.015     0.000     0.000
     9    57.290GHz     1         8782         8782   211.863   211.863    -0.151     0.273     0.019     0.194     0.340     0.330    -0.170     0.173    -0.056     0.159    -0.071     0.000     0.000     0.000    -0.061     0.094     0.005     0.008     0.008     0.015     0.000     0.000     0.000     0.000     0.005     0.012     0.000     0.000
    10    57.290GHz     1         8782         8782   214.948   214.948    -0.023     0.344     0.030     0.207     0.400     0.272    -0.052     0.252    -0.020     0.170    -0.020     0.000     0.000     0.000    -0.030     0.196     0.016     0.017     0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8782         8782   229.138   229.138     0.215     0.453     0.014     0.372     1.000     0.138     0.201     0.225    -0.027     0.169     0.271     0.000     0.000     0.000    -0.053     0.149     0.009     0.017    -0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8780         8777   239.270   239.278     0.370     0.589     0.048     0.535     1.500     0.128     0.322     0.200    -0.029     0.173     0.396     0.000     0.000     0.000    -0.045     0.101     0.007     0.012    -0.005     0.011     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8782         3905   241.909   237.376     3.330     4.235     0.122     2.118     5.196     0.206     3.208     3.719    -7.108     4.593    16.844     0.000     0.000     0.000     0.102     0.703    -0.302     0.332    -5.209     5.804     0.000     0.000     0.000     0.000    -1.120     3.144     0.000     0.000
