!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051418      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8808         4727   203.166   183.876     3.358     2.968    -0.033     1.796     4.599     0.167     3.392     2.241    -5.076     3.264    11.879     0.000     0.000     0.000     0.025     0.122     0.020     0.027    -2.968     3.291     0.000     0.000     0.000     0.000    -0.489     1.752     0.000     0.000
     2    31.400GHz    -1         8808         4848   194.164   173.023     2.864     3.727     0.163     1.267     4.774     0.077     2.702     3.426    -7.704     4.973    15.873     0.000     0.000     0.000     0.018     0.152     0.006     0.009    -4.844     5.419     0.000     0.000     0.000     0.000    -0.647     2.332     0.000     0.000
     3    50.300GHz    -1         8808         4835   239.922   233.779     2.707     2.335     0.046     1.099     3.479     0.112     2.661     1.999    -5.299     3.456    11.214     0.000     0.000     0.000     0.042     0.248    -0.021     0.029    -3.029     3.380     0.000     0.000     0.000     0.000    -0.246     0.897     0.000     0.000
     4    52.799GHz     1         8808         4848   255.548   256.027     0.050     0.577     0.009     0.280     1.133     0.069     0.041     0.471    -1.141     0.740     1.617     0.000     0.000     0.000     0.007     0.019     0.052     0.056    -0.516     0.578     0.000     0.000     0.000     0.000     0.022     0.079     0.000     0.000
     5    53.595GHz     1         8808         4848   248.952   249.980     0.078     0.299     0.003     0.172     0.451     0.165     0.074     0.246    -0.288     0.197     0.441     0.000     0.000     0.000    -0.064     0.117     0.000     0.000    -0.023     0.026     0.000     0.000     0.000     0.000     0.007     0.026     0.000     0.000
     6    54.400GHz    -1         8808         8282   232.530   232.943    -2.085     0.687     0.024     0.194     0.257     0.625    -2.109     0.671     0.145     0.242    -1.938     0.000     0.000     0.000    -0.335     0.657     0.020     0.018     0.007     0.011     0.000     0.000     0.000     0.000    -0.008     0.016     0.000     0.000
     7    54.941GHz     1         8808         8808   224.602   224.602    -0.059     0.335     0.001     0.133     0.252     0.275    -0.059     0.311     0.273     0.238    -0.230     0.000     0.000     0.000    -0.104     0.197    -0.000     0.000     0.002     0.004     0.000     0.000     0.000     0.000    -0.000     0.000     0.000     0.000
     8    55.499GHz     1         8808         8808   217.494   217.494    -0.048     0.266     0.001     0.129     0.275     0.219    -0.049     0.235    -0.088     0.099     0.185     0.000     0.000     0.000    -0.116     0.194    -0.027     0.031    -0.001     0.002     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8808         8808   211.975   211.975    -0.171     0.250     0.003     0.167     0.340     0.241    -0.174     0.184    -0.057     0.162    -0.066     0.000     0.000     0.000    -0.074     0.114     0.009     0.014     0.009     0.018     0.000     0.000     0.000     0.000     0.005     0.013     0.000     0.000
    10    57.290GHz     1         8808         8808   214.852   214.852    -0.052     0.322     0.002     0.190     0.400     0.227    -0.054     0.260    -0.019     0.173    -0.015     0.000     0.000     0.000    -0.046     0.209     0.022     0.023     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8808         8808   228.414   228.414     0.209     0.395     0.001     0.324     1.000     0.105     0.208     0.221    -0.021     0.168     0.279     0.000     0.000     0.000    -0.064     0.155     0.010     0.020     0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8807         8807   238.379   238.379     0.321     0.503    -0.003     0.453     1.500     0.091     0.325     0.212    -0.024     0.174     0.402     0.000     0.000     0.000    -0.048     0.121    -0.001     0.002    -0.004     0.007     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8808         4316   238.659   234.237     3.562     4.130     0.071     2.181     5.173     0.222     3.491     3.581    -7.053     4.647    16.843     0.000     0.000     0.000     0.139     0.605    -0.291     0.337    -5.349     5.843     0.000     0.000     0.000     0.000    -0.798     2.704     0.000     0.000
