!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052400      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8966         4134   214.788   191.839     2.935     3.153     0.042     1.890     4.773     0.177     2.892     2.311    -5.233     3.231    11.892     0.000     0.000     0.000     0.006     0.142    -0.018     0.022    -2.982     3.277     0.000     0.000     0.000     0.000    -0.773     2.103     0.000     0.000
     2    31.400GHz    -1         8966         4282   205.128   178.697     2.319     3.712     0.215     1.390     4.989     0.085     2.104     3.359    -7.829     4.852    15.917     0.000     0.000     0.000    -0.007     0.166    -0.015     0.019    -4.899     5.353     0.000     0.000     0.000     0.000    -1.063     2.916     0.000     0.000
     3    50.300GHz    -1         8966         4274   244.100   236.474     2.447     2.268     0.073     1.108     3.625     0.106     2.374     1.962    -5.386     3.382    11.233     0.000     0.000     0.000     0.063     0.221    -0.020     0.025    -3.052     3.327     0.000     0.000     0.000     0.000    -0.463     1.275     0.000     0.000
     4    52.799GHz     1         8966         4282   256.769   257.526    -0.015     0.585    -0.029     0.299     1.207     0.075     0.013     0.473    -1.168     0.731     1.616     0.000     0.000     0.000     0.004     0.007     0.067     0.064    -0.521     0.570     0.000     0.000     0.000     0.000     0.015     0.043     0.000     0.000
     5    53.595GHz     1         8966         4282   249.531   250.949     0.019     0.312    -0.023     0.196     0.478     0.210     0.042     0.244    -0.298     0.198     0.441     0.000     0.000     0.000    -0.088     0.122     0.008     0.006    -0.026     0.028     0.000     0.000     0.000     0.000     0.003     0.010     0.000     0.000
     6    54.400GHz    -1         8966         8376   232.748   233.169    -2.155     0.693    -0.021     0.207     0.264     0.700    -2.134     0.642     0.139     0.240    -1.958     0.000     0.000     0.000    -0.360     0.649     0.055     0.047     0.002     0.003     0.000     0.000     0.000     0.000    -0.012     0.022     0.000     0.000
     7    54.941GHz     1         8966         8965   224.635   224.635    -0.070     0.347    -0.005     0.151     0.255     0.353    -0.065     0.312     0.272     0.237    -0.223     0.000     0.000     0.000    -0.115     0.199    -0.001     0.001     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8966         8966   217.288   217.288    -0.062     0.280    -0.000     0.150     0.275     0.298    -0.061     0.232    -0.090     0.099     0.187     0.000     0.000     0.000    -0.126     0.193    -0.028     0.031    -0.001     0.003     0.000     0.000     0.000     0.000    -0.003     0.012     0.000     0.000
     9    57.290GHz     1         8966         8966   211.514   211.514    -0.145     0.276     0.028     0.194     0.340     0.333    -0.173     0.190    -0.061     0.164    -0.065     0.000     0.000     0.000    -0.073     0.124     0.013     0.021     0.008     0.016     0.000     0.000     0.000     0.000     0.006     0.015     0.000     0.000
    10    57.290GHz     1         8966         8966   214.576   214.576    -0.016     0.352     0.029     0.212     0.400     0.286    -0.045     0.266    -0.021     0.175    -0.016     0.000     0.000     0.000    -0.033     0.216     0.022     0.025     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8961         8961   228.637   228.637     0.219     0.429     0.009     0.359     1.000     0.129     0.210     0.205    -0.026     0.167     0.276     0.000     0.000     0.000    -0.046     0.123     0.003     0.005     0.001     0.002     0.000     0.000     0.000     0.000     0.002     0.004     0.000     0.000
    13    57.290GHz     1         8958         8958   238.967   238.967     0.362     0.553     0.016     0.505     1.500     0.114     0.345     0.202    -0.028     0.174     0.395     0.000     0.000     0.000    -0.030     0.106     0.010     0.017    -0.003     0.007     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8966         3921   243.855   238.858     3.045     4.197     0.127     2.146     5.300     0.207     2.918     3.644    -7.115     4.541    16.866     0.000     0.000     0.000     0.055     0.755    -0.288     0.306    -5.316     5.753     0.000     0.000     0.000     0.000    -1.284     3.372     0.000     0.000
