!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052406      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8960         4840   203.785   183.318     3.271     2.969     0.064     1.894     4.635     0.183     3.208     2.185    -5.050     3.329    11.888     0.000     0.000     0.000     0.033     0.130    -0.018     0.024    -3.145     3.361     0.000     0.000     0.000     0.000    -0.500     1.756     0.000     0.000
     2    31.400GHz    -1         8960         5055   194.969   172.926     2.812     3.670     0.220     1.319     4.833     0.083     2.591     3.356    -7.569     4.968    15.916     0.000     0.000     0.000     0.020     0.150    -0.013     0.018    -5.101     5.497     0.000     0.000     0.000     0.000    -0.661     2.357     0.000     0.000
     3    50.300GHz    -1         8960         5049   240.754   233.385     2.592     2.328     0.003     1.103     3.501     0.112     2.588     1.961    -5.213     3.473    11.233     0.000     0.000     0.000     0.037     0.198    -0.018     0.024    -3.178     3.420     0.000     0.000     0.000     0.000    -0.272     0.976     0.000     0.000
     4    52.799GHz     1         8960         5055   256.090   255.644    -0.011     0.570    -0.020     0.293     1.133     0.074     0.009     0.459    -1.131     0.751     1.615     0.000     0.000     0.000     0.003     0.007     0.055     0.059    -0.543     0.585     0.000     0.000     0.000     0.000     0.011     0.040     0.000     0.000
     5    53.595GHz     1         8960         5055   249.148   249.627     0.062     0.320    -0.010     0.192     0.448     0.203     0.072     0.243    -0.288     0.203     0.442     0.000     0.000     0.000    -0.065     0.118     0.009     0.009    -0.027     0.029     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
     6    54.400GHz    -1         8960         8553   232.299   232.557    -2.129     0.645    -0.006     0.203     0.249     0.708    -2.124     0.621     0.139     0.240    -1.961     0.000     0.000     0.000    -0.350     0.617     0.053     0.051     0.002     0.003     0.000     0.000     0.000     0.000    -0.006     0.011     0.000     0.000
     7    54.941GHz     1         8960         8958   224.277   224.276    -0.048     0.342     0.012     0.146     0.251     0.339    -0.060     0.306     0.271     0.236    -0.224     0.000     0.000     0.000    -0.108     0.187    -0.000     0.000     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8960         8960   217.119   217.119    -0.036     0.273     0.012     0.148     0.275     0.290    -0.048     0.225    -0.089     0.098     0.185     0.000     0.000     0.000    -0.117     0.184    -0.025     0.030    -0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     9    57.290GHz     1         8960         8960   211.605   211.605    -0.150     0.268     0.031     0.190     0.340     0.320    -0.181     0.193    -0.060     0.164    -0.065     0.000     0.000     0.000    -0.079     0.126     0.011     0.016     0.009     0.017     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8960         8960   214.304   214.304    -0.037     0.331     0.035     0.205     0.400     0.271    -0.072     0.268    -0.021     0.174    -0.017     0.000     0.000     0.000    -0.058     0.218     0.020     0.023     0.002     0.004     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8958         8958   227.274   227.274     0.230     0.439     0.037     0.353     1.000     0.126     0.192     0.228    -0.025     0.166     0.276     0.000     0.000     0.000    -0.071     0.170     0.009     0.017     0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    13    57.290GHz     1         8959         8959   237.104   237.104     0.405     0.550     0.079     0.498     1.500     0.113     0.326     0.200    -0.026     0.172     0.398     0.000     0.000     0.000    -0.054     0.121     0.011     0.017    -0.003     0.006     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8960         4546   240.041   233.832     3.594     4.184     0.109     2.177     5.235     0.218     3.485     3.641    -6.881     4.678    16.863     0.000     0.000     0.000     0.176     0.673    -0.239     0.277    -5.603     5.961     0.000     0.000     0.000     0.000    -0.831     2.797     0.000     0.000
