!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050800      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8951         4125   214.130   191.133     3.031     3.078     0.048     1.920     4.714     0.187     2.982     2.329    -5.184     3.245    11.844     0.000     0.000     0.000     0.008     0.095     0.027     0.031    -2.978     3.278     0.000     0.000     0.000     0.000    -0.736     2.092     0.000     0.000
     2    31.400GHz    -1         8951         4296   204.339   178.008     2.440     3.757     0.213     1.373     4.909     0.086     2.227     3.480    -7.771     4.860    15.863     0.000     0.000     0.000    -0.001     0.151     0.017     0.021    -4.888     5.386     0.000     0.000     0.000     0.000    -0.993     2.858     0.000     0.000
     3    50.300GHz    -1         8951         4278   243.544   236.330     2.463     2.333     0.031     1.100     3.560     0.108     2.432     1.996    -5.366     3.398    11.218     0.000     0.000     0.000     0.067     0.254    -0.034     0.043    -3.056     3.358     0.000     0.000     0.000     0.000    -0.398     1.163     0.000     0.000
     4    52.799GHz     1         8951         4296   256.582   257.636     0.029     0.582     0.002     0.292     1.169     0.071     0.027     0.473    -1.169     0.739     1.617     0.000     0.000     0.000     0.012     0.026     0.060     0.059    -0.514     0.567     0.000     0.000     0.000     0.000     0.021     0.062     0.000     0.000
     5    53.595GHz     1         8951         4296   249.527   251.145     0.076     0.315     0.008     0.192     0.461     0.198     0.068     0.243    -0.293     0.195     0.445     0.000     0.000     0.000    -0.077     0.115     0.004     0.003    -0.019     0.021     0.000     0.000     0.000     0.000     0.008     0.025     0.000     0.000
     6    54.400GHz    -1         8951         8445   233.047   233.376    -2.042     0.720     0.011     0.194     0.264     0.604    -2.053     0.681     0.146     0.244    -1.920     0.000     0.000     0.000    -0.336     0.704     0.064     0.052     0.015     0.025     0.000     0.000     0.000     0.000    -0.022     0.040     0.000     0.000
     7    54.941GHz     1         8951         8949   225.063   225.063    -0.040     0.356     0.009     0.145     0.255     0.327    -0.049     0.317     0.276     0.240    -0.230     0.000     0.000     0.000    -0.104     0.209     0.007     0.007     0.001     0.003     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
     8    55.499GHz     1         8951         8951   217.894   217.894    -0.036     0.294     0.023     0.146     0.275     0.290    -0.059     0.251    -0.091     0.101     0.179     0.000     0.000     0.000    -0.123     0.221    -0.020     0.022    -0.002     0.003     0.000     0.000     0.000     0.000    -0.003     0.014     0.000     0.000
     9    57.290GHz     1         8951         8950   212.331   212.332    -0.144     0.259     0.028     0.190     0.340     0.318    -0.172     0.180    -0.057     0.163    -0.073     0.000     0.000     0.000    -0.058     0.092     0.003     0.005     0.008     0.016     0.000     0.000     0.000     0.000     0.005     0.013     0.000     0.000
    10    57.290GHz     1         8951         8951   215.439   215.439    -0.023     0.332     0.034     0.205     0.400     0.269    -0.056     0.253    -0.021     0.173    -0.025     0.000     0.000     0.000    -0.030     0.196     0.018     0.020     0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8950         8950   229.335   229.335     0.189     0.439     0.006     0.339     1.000     0.115     0.184     0.243    -0.032     0.170     0.267     0.000     0.000     0.000    -0.052     0.171     0.002     0.004    -0.002     0.004     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    13    57.290GHz     1         8946         8946   239.517   239.517     0.287     0.544    -0.029     0.480     1.500     0.103     0.316     0.219    -0.033     0.176     0.393     0.000     0.000     0.000    -0.039     0.121     0.003     0.005    -0.006     0.013     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8951         3851   242.756   238.837     3.095     4.162     0.036     2.147     5.250     0.210     3.059     3.689    -7.107     4.553    16.881     0.000     0.000     0.000     0.071     0.713    -0.289     0.286    -5.313     5.845     0.000     0.000     0.000     0.000    -1.185     3.224     0.000     0.000
