!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051618      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8768         4760   200.686   181.191     3.387     2.894     0.029     1.844     4.568     0.175     3.359     2.098    -5.035     3.283    11.866     0.000     0.000     0.000     0.032     0.110     0.006     0.008    -3.148     3.290     0.000     0.000     0.000     0.000    -0.363     1.491     0.000     0.000
     2    31.400GHz    -1         8768         4951   191.733   170.885     2.868     3.542     0.187     1.273     4.756     0.079     2.680     3.187    -7.608     4.956    15.876     0.000     0.000     0.000     0.024     0.153     0.003     0.004    -5.121     5.382     0.000     0.000     0.000     0.000    -0.493     2.045     0.000     0.000
     3    50.300GHz    -1         8768         4941   238.722   232.717     2.670     2.187     0.038     1.062     3.455     0.103     2.632     1.856    -5.237     3.451    11.225     0.000     0.000     0.000     0.038     0.233    -0.019     0.026    -3.189     3.346     0.000     0.000     0.000     0.000    -0.187     0.787     0.000     0.000
     4    52.799GHz     1         8768         4951   255.229   255.671     0.001     0.550    -0.018     0.285     1.112     0.072     0.019     0.431    -1.130     0.742     1.619     0.000     0.000     0.000     0.007     0.021     0.053     0.057    -0.545     0.572     0.000     0.000     0.000     0.000     0.015     0.061     0.000     0.000
     5    53.595GHz     1         8768         4951   248.793   249.812     0.070     0.312    -0.008     0.186     0.440     0.193     0.078     0.241    -0.286     0.199     0.444     0.000     0.000     0.000    -0.061     0.116     0.004     0.004    -0.025     0.026     0.000     0.000     0.000     0.000     0.003     0.012     0.000     0.000
     6    54.400GHz    -1         8768         8323   232.360   232.775    -2.095     0.697    -0.002     0.207     0.256     0.714    -2.094     0.667     0.142     0.242    -1.945     0.000     0.000     0.000    -0.345     0.676     0.057     0.049     0.006     0.009     0.000     0.000     0.000     0.000    -0.009     0.020     0.000     0.000
     7    54.941GHz     1         8768         8768   224.448   224.448    -0.055     0.345    -0.003     0.143     0.252     0.320    -0.053     0.307     0.273     0.237    -0.228     0.000     0.000     0.000    -0.102     0.196     0.004     0.004     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     8    55.499GHz     1         8768         8768   217.370   217.370    -0.036     0.280     0.008     0.144     0.275     0.274    -0.045     0.230    -0.090     0.099     0.185     0.000     0.000     0.000    -0.115     0.195    -0.022     0.026    -0.002     0.003     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8768         8768   211.868   211.868    -0.162     0.266     0.013     0.183     0.340     0.293    -0.175     0.186    -0.060     0.164    -0.070     0.000     0.000     0.000    -0.074     0.119     0.016     0.025     0.010     0.017     0.000     0.000     0.000     0.000     0.004     0.011     0.000     0.000
    10    57.290GHz     1         8768         8768   214.693   214.693    -0.043     0.342     0.019     0.202     0.400     0.258    -0.063     0.262    -0.021     0.173    -0.018     0.000     0.000     0.000    -0.047     0.211     0.021     0.024     0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8768         8768   228.147   228.147     0.193     0.431     0.001     0.341     1.000     0.116     0.192     0.218    -0.025     0.166     0.278     0.000     0.000     0.000    -0.068     0.145     0.003     0.005     0.003     0.006     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    13    57.290GHz     1         8767         8767   238.056   238.056     0.309     0.554    -0.019     0.483     1.500     0.104     0.328     0.224    -0.027     0.175     0.403     0.000     0.000     0.000    -0.048     0.142     0.003     0.004    -0.002     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8768         4449   237.302   232.599     3.811     4.079     0.095     2.166     5.148     0.218     3.716     3.451    -6.940     4.603    16.883     0.000     0.000     0.000     0.183     0.604    -0.262     0.310    -5.540     5.797     0.000     0.000     0.000     0.000    -0.608     2.383     0.000     0.000
