!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051618      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8768         4829   200.686   182.019     3.214     2.837    -0.018     1.823     4.589     0.170     3.232     2.051    -5.060     3.281    11.866     0.000     0.000     0.000     0.031     0.110     0.006     0.008    -3.206     3.299     0.000     0.000     0.000     0.000    -0.405     1.567     0.000     0.000
     2    31.400GHz    -1         8768         5003   191.733   171.493     2.670     3.452     0.169     1.275     4.791     0.077     2.501     3.107    -7.628     4.956    15.876     0.000     0.000     0.000     0.024     0.154     0.003     0.005    -5.225     5.400     0.000     0.000     0.000     0.000    -0.549     2.142     0.000     0.000
     3    50.300GHz    -1         8768         4993   238.722   232.981     2.563     2.132     0.034     1.054     3.476     0.101     2.529     1.806    -5.251     3.452    11.225     0.000     0.000     0.000     0.038     0.235    -0.019     0.027    -3.254     3.354     0.000     0.000     0.000     0.000    -0.209     0.827     0.000     0.000
     4    52.799GHz     1         8768         5003   255.229   255.814     0.003     0.532    -0.005     0.269     1.118     0.063     0.008     0.432    -1.134     0.742     1.619     0.000     0.000     0.000     0.007     0.020     0.054     0.059    -0.555     0.574     0.000     0.000     0.000     0.000     0.018     0.070     0.000     0.000
     5    53.595GHz     1         8768         5003   248.793   249.908     0.074     0.303    -0.000     0.172     0.442     0.165     0.075     0.243    -0.288     0.200     0.443     0.000     0.000     0.000    -0.063     0.117     0.004     0.003    -0.025     0.026     0.000     0.000     0.000     0.000     0.004     0.016     0.000     0.000
     6    54.400GHz    -1         8768         8331   232.360   232.777    -2.096     0.693    -0.004     0.195     0.257     0.623    -2.092     0.670     0.142     0.242    -1.945     0.000     0.000     0.000    -0.343     0.679     0.057     0.049     0.006     0.009     0.000     0.000     0.000     0.000    -0.009     0.021     0.000     0.000
     7    54.941GHz     1         8768         8768   224.448   224.448    -0.060     0.338     0.003     0.134     0.252     0.280    -0.063     0.313     0.272     0.236    -0.230     0.000     0.000     0.000    -0.103     0.198    -0.004     0.004     0.002     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8768         8768   217.370   217.370    -0.045     0.269     0.002     0.130     0.275     0.222    -0.047     0.233    -0.090     0.100     0.186     0.000     0.000     0.000    -0.114     0.195    -0.026     0.030    -0.001     0.002     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8768         8768   211.868   211.868    -0.181     0.252    -0.000     0.167     0.340     0.241    -0.181     0.190    -0.060     0.164    -0.070     0.000     0.000     0.000    -0.075     0.122     0.011     0.018     0.010     0.017     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8768         8768   214.693   214.693    -0.076     0.328    -0.004     0.187     0.400     0.219    -0.072     0.267    -0.022     0.174    -0.020     0.000     0.000     0.000    -0.047     0.214     0.014     0.015     0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8768         8768   228.147   228.147     0.180     0.389    -0.007     0.318     1.000     0.101     0.186     0.220    -0.025     0.166     0.277     0.000     0.000     0.000    -0.071     0.147     0.002     0.004     0.003     0.005     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    13    57.290GHz     1         8767         8767   238.056   238.056     0.338     0.517     0.005     0.462     1.500     0.095     0.333     0.223    -0.026     0.179     0.403     0.000     0.000     0.000    -0.050     0.143     0.008     0.013    -0.002     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8768         4520   237.302   233.040     3.587     4.005     0.079     2.166     5.179     0.215     3.508     3.361    -6.964     4.602    16.883     0.000     0.000     0.000     0.179     0.607    -0.264     0.312    -5.652     5.813     0.000     0.000     0.000     0.000    -0.674     2.494     0.000     0.000
