!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051706      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8937         4875   205.468   183.531     3.412     3.060     0.097     1.895     4.600     0.187     3.314     2.264    -5.051     3.279    11.860     0.000     0.000     0.000     0.031     0.109     0.003     0.004    -3.046     3.273     0.000     0.000     0.000     0.000    -0.482     1.696     0.000     0.000
     2    31.400GHz    -1         8937         5041   196.662   173.301     2.880     3.688     0.223     1.315     4.777     0.083     2.658     3.423    -7.608     4.945    15.875     0.000     0.000     0.000     0.023     0.154     0.002     0.002    -4.979     5.344     0.000     0.000     0.000     0.000    -0.654     2.328     0.000     0.000
     3    50.300GHz    -1         8937         5034   241.610   233.674     2.687     2.358     0.029     1.080     3.470     0.106     2.658     1.999    -5.242     3.457    11.221     0.000     0.000     0.000     0.038     0.224    -0.019     0.024    -3.099     3.321     0.000     0.000     0.000     0.000    -0.241     0.862     0.000     0.000
     4    52.799GHz     1         8937         5041   256.564   255.826     0.021     0.595    -0.009     0.295     1.123     0.075     0.031     0.476    -1.132     0.744     1.618     0.000     0.000     0.000     0.006     0.017     0.050     0.053    -0.530     0.568     0.000     0.000     0.000     0.000     0.018     0.065     0.000     0.000
     5    53.595GHz     1         8937         5041   249.496   249.788     0.074     0.320    -0.000     0.191     0.443     0.203     0.074     0.248    -0.287     0.200     0.443     0.000     0.000     0.000    -0.062     0.117     0.001     0.001    -0.024     0.026     0.000     0.000     0.000     0.000     0.003     0.009     0.000     0.000
     6    54.400GHz    -1         8937         8608   232.640   232.835    -2.094     0.687     0.017     0.205     0.248     0.723    -2.112     0.642     0.140     0.239    -1.947     0.000     0.000     0.000    -0.351     0.646     0.049     0.048     0.005     0.008     0.000     0.000     0.000     0.000    -0.009     0.017     0.000     0.000
     7    54.941GHz     1         8937         8937   224.611   224.611    -0.053     0.346     0.012     0.143     0.251     0.329    -0.065     0.309     0.270     0.235    -0.230     0.000     0.000     0.000    -0.106     0.194    -0.001     0.001     0.002     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8937         8937   217.512   217.512    -0.025     0.279     0.023     0.141     0.275     0.271    -0.048     0.242    -0.089     0.100     0.185     0.000     0.000     0.000    -0.112     0.198    -0.029     0.034    -0.001     0.002     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     9    57.290GHz     1         8937         8937   212.173   212.173    -0.146     0.261     0.024     0.186     0.340     0.305    -0.170     0.182    -0.059     0.163    -0.070     0.000     0.000     0.000    -0.067     0.112     0.012     0.020     0.009     0.017     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8937         8937   215.117   215.117    -0.030     0.338     0.037     0.205     0.400     0.270    -0.067     0.257    -0.022     0.172    -0.020     0.000     0.000     0.000    -0.043     0.202     0.015     0.016     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8934         8934   228.526   228.526     0.219     0.430     0.033     0.342     1.000     0.118     0.186     0.231    -0.025     0.166     0.277     0.000     0.000     0.000    -0.074     0.162     0.005     0.009     0.003     0.005     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    13    57.290GHz     1         8935         8935   238.312   238.312     0.330     0.551     0.006     0.489     1.500     0.106     0.324     0.222    -0.026     0.176     0.402     0.000     0.000     0.000    -0.056     0.140     0.007     0.012    -0.003     0.005     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8937         4536   240.930   234.277     3.887     4.228     0.201     2.175     5.154     0.217     3.686     3.616    -6.914     4.597    16.882     0.000     0.000     0.000     0.173     0.605    -0.259     0.306    -5.420     5.760     0.000     0.000     0.000     0.000    -0.776     2.614     0.000     0.000
