!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051212      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8955         4325   213.092   188.158     3.419     3.293     0.189     1.909     4.677     0.188     3.230     2.544    -5.087     3.257    11.846     0.000     0.000     0.000     0.019     0.114     0.000     0.001    -2.887     3.294     0.000     0.000     0.000     0.000    -0.662     2.039     0.000     0.000
     2    31.400GHz    -1         8955         4496   204.343   176.438     2.903     4.055     0.281     1.351     4.836     0.086     2.622     3.784    -7.696     4.915    15.866     0.000     0.000     0.000     0.011     0.148    -0.002     0.002    -4.674     5.386     0.000     0.000     0.000     0.000    -0.883     2.747     0.000     0.000
     3    50.300GHz    -1         8955         4488   243.895   235.264     2.724     2.475     0.043     1.097     3.523     0.111     2.680     2.194    -5.292     3.415    11.221     0.000     0.000     0.000     0.046     0.242    -0.029     0.034    -2.922     3.364     0.000     0.000     0.000     0.000    -0.344     1.079     0.000     0.000
     4    52.799GHz     1         8955         4496   256.562   256.488     0.050     0.637    -0.016     0.300     1.161     0.077     0.066     0.517    -1.144     0.735     1.620     0.000     0.000     0.000     0.007     0.019     0.053     0.050    -0.496     0.572     0.000     0.000     0.000     0.000     0.026     0.082     0.000     0.000
     5    53.595GHz     1         8955         4496   249.331   250.174     0.054     0.337    -0.015     0.197     0.461     0.206     0.069     0.256    -0.289     0.196     0.443     0.000     0.000     0.000    -0.071     0.123     0.000     0.000    -0.021     0.025     0.000     0.000     0.000     0.000     0.008     0.026     0.000     0.000
     6    54.400GHz    -1         8955         8428   232.673   232.829    -2.100     0.713    -0.008     0.211     0.262     0.725    -2.092     0.666     0.143     0.243    -1.938     0.000     0.000     0.000    -0.332     0.670     0.037     0.033     0.008     0.013     0.000     0.000     0.000     0.000    -0.009     0.017     0.000     0.000
     7    54.941GHz     1         8955         8952   224.681   224.681    -0.062     0.352     0.000     0.148     0.255     0.338    -0.062     0.315     0.274     0.239    -0.230     0.000     0.000     0.000    -0.105     0.202    -0.002     0.002     0.001     0.003     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
     8    55.499GHz     1         8955         8953   217.520   217.520    -0.044     0.285     0.012     0.149     0.275     0.297    -0.056     0.245    -0.090     0.100     0.184     0.000     0.000     0.000    -0.120     0.207    -0.026     0.030    -0.001     0.002     0.000     0.000     0.000     0.000    -0.003     0.012     0.000     0.000
     9    57.290GHz     1         8955         8955   211.996   211.996    -0.139     0.274     0.034     0.194     0.340     0.337    -0.173     0.186    -0.056     0.162    -0.067     0.000     0.000     0.000    -0.069     0.108     0.004     0.007     0.009     0.016     0.000     0.000     0.000     0.000     0.006     0.015     0.000     0.000
    10    57.290GHz     1         8955         8955   214.907   214.907    -0.014     0.352     0.045     0.211     0.400     0.291    -0.059     0.261    -0.021     0.173    -0.015     0.000     0.000     0.000    -0.044     0.208     0.017     0.020     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8955         8955   228.611   228.611     0.242     0.448     0.049     0.369     1.000     0.138     0.194     0.220    -0.026     0.166     0.272     0.000     0.000     0.000    -0.056     0.145     0.004     0.007    -0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    13    57.290GHz     1         8953         8951   238.739   238.742     0.378     0.587     0.058     0.520     1.500     0.122     0.320     0.215    -0.031     0.171     0.394     0.000     0.000     0.000    -0.041     0.124     0.004     0.008    -0.006     0.011     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8955         4056   243.332   237.010     3.534     4.450     0.090     2.178     5.206     0.219     3.444     3.918    -7.052     4.599    16.847     0.000     0.000     0.000     0.130     0.663    -0.284     0.303    -5.173     5.825     0.000     0.000     0.000     0.000    -1.024     3.027     0.000     0.000
