!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051000      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8938         4263   213.810   190.654     3.091     3.145     0.185     1.842     4.710     0.175     2.906     2.362    -5.215     3.284    11.821     0.000     0.000     0.000     0.014     0.115    -0.000     0.001    -2.891     3.269     0.000     0.000     0.000     0.000    -0.822     2.264     0.000     0.000
     2    31.400GHz    -1         8938         4389   204.693   178.460     2.595     3.692     0.285     1.340     4.871     0.084     2.310     3.421    -7.745     4.873    15.850     0.000     0.000     0.000     0.004     0.154    -0.002     0.003    -4.710     5.335     0.000     0.000     0.000     0.000    -1.085     3.010     0.000     0.000
     3    50.300GHz    -1         8938         4381   243.545   236.044     2.506     2.304    -0.012     1.118     3.549     0.112     2.518     1.987    -5.347     3.420    11.218     0.000     0.000     0.000     0.054     0.245    -0.036     0.048    -2.941     3.328     0.000     0.000     0.000     0.000    -0.430     1.200     0.000     0.000
     4    52.799GHz     1         8938         4389   256.024   256.675     0.043     0.596     0.001     0.285     1.181     0.067     0.041     0.492    -1.165     0.743     1.618     0.000     0.000     0.000     0.008     0.020     0.055     0.056    -0.498     0.564     0.000     0.000     0.000     0.000     0.023     0.064     0.000     0.000
     5    53.595GHz     1         8938         4389   248.914   250.186     0.057     0.311    -0.002     0.173     0.471     0.161     0.060     0.250    -0.295     0.200     0.443     0.000     0.000     0.000    -0.073     0.118    -0.001     0.001    -0.020     0.023     0.000     0.000     0.000     0.000     0.005     0.016     0.000     0.000
     6    54.400GHz    -1         8938         8370   232.446   232.799    -2.090     0.705     0.001     0.180     0.267     0.514    -2.092     0.682     0.143     0.243    -1.929     0.000     0.000     0.000    -0.350     0.692     0.058     0.049     0.010     0.017     0.000     0.000     0.000     0.000    -0.024     0.042     0.000     0.000
     7    54.941GHz     1         8938         8936   224.455   224.456    -0.062     0.344    -0.001     0.134     0.256     0.280    -0.061     0.316     0.274     0.238    -0.233     0.000     0.000     0.000    -0.107     0.205     0.004     0.004     0.001     0.003     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8938         8938   217.240   217.240    -0.058     0.281     0.000     0.134     0.275     0.236    -0.059     0.245    -0.090     0.101     0.184     0.000     0.000     0.000    -0.123     0.208    -0.025     0.028    -0.001     0.002     0.000     0.000     0.000     0.000    -0.003     0.014     0.000     0.000
     9    57.290GHz     1         8938         8938   211.604   211.604    -0.174     0.248     0.002     0.171     0.340     0.252    -0.176     0.177    -0.057     0.161    -0.073     0.000     0.000     0.000    -0.062     0.096     0.003     0.005     0.007     0.015     0.000     0.000     0.000     0.000     0.005     0.012     0.000     0.000
    10    57.290GHz     1         8938         8938   214.653   214.653    -0.059     0.318     0.001     0.192     0.400     0.229    -0.060     0.256    -0.021     0.171    -0.021     0.000     0.000     0.000    -0.033     0.201     0.014     0.015     0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8936         8936   228.445   228.445     0.189     0.412     0.003     0.330     1.000     0.109     0.187     0.234    -0.030     0.173     0.270     0.000     0.000     0.000    -0.068     0.168     0.014     0.025    -0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8934         8934   238.237   238.237     0.309     0.510     0.005     0.465     1.500     0.096     0.305     0.206    -0.033     0.176     0.393     0.000     0.000     0.000    -0.060     0.114     0.011     0.019    -0.005     0.009     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8938         3970   242.803   237.911     3.120     4.117     0.017     2.132     5.237     0.212     3.103     3.546    -7.035     4.598    16.852     0.000     0.000     0.000     0.096     0.700    -0.291     0.298    -5.230     5.766     0.000     0.000     0.000     0.000    -1.288     3.384     0.000     0.000
