!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052718      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8953         4856   200.918   183.329     3.361     3.049     0.168     1.881     4.606     0.184     3.193     2.213    -5.122     3.305    11.890     0.000     0.000     0.000     0.022     0.079    -0.007     0.009    -3.154     3.338     0.000     0.000     0.000     0.000    -0.436     1.634     0.000     0.000
     2    31.400GHz    -1         8953         5035   191.996   172.588     2.770     3.634     0.253     1.300     4.803     0.082     2.517     3.312    -7.702     4.957    15.915     0.000     0.000     0.000     0.015     0.120    -0.006     0.008    -5.118     5.449     0.000     0.000     0.000     0.000    -0.588     2.232     0.000     0.000
     3    50.300GHz    -1         8953         5026   239.135   233.669     2.638     2.260     0.097     1.076     3.490     0.107     2.541     1.956    -5.285     3.440    11.232     0.000     0.000     0.000     0.042     0.180    -0.012     0.016    -3.194     3.390     0.000     0.000     0.000     0.000    -0.241     0.925     0.000     0.000
     4    52.799GHz     1         8953         5035   255.400   256.049     0.022     0.545     0.017     0.269     1.126     0.061     0.005     0.440    -1.140     0.740     1.616     0.000     0.000     0.000     0.003     0.007     0.061     0.063    -0.548     0.584     0.000     0.000     0.000     0.000     0.013     0.051     0.000     0.000
     5    53.595GHz     1         8953         5035   248.786   249.889     0.069     0.298     0.007     0.171     0.445     0.161     0.063     0.238    -0.293     0.202     0.441     0.000     0.000     0.000    -0.071     0.116     0.010     0.009    -0.028     0.030     0.000     0.000     0.000     0.000     0.003     0.013     0.000     0.000
     6    54.400GHz    -1         8953         8425   232.019   232.501    -2.163     0.652    -0.001     0.199     0.255     0.650    -2.162     0.623     0.138     0.238    -1.968     0.000     0.000     0.000    -0.386     0.626     0.060     0.054    -0.000     0.000     0.000     0.000     0.000     0.000    -0.006     0.013     0.000     0.000
     7    54.941GHz     1         8953         8951   223.913   223.912    -0.066     0.333     0.002     0.134     0.252     0.283    -0.068     0.305     0.272     0.236    -0.222     0.000     0.000     0.000    -0.115     0.182    -0.004     0.004     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     8    55.499GHz     1         8953         8953   216.587   216.587    -0.059     0.250    -0.003     0.130     0.275     0.224    -0.056     0.215    -0.089     0.099     0.185     0.000     0.000     0.000    -0.121     0.172    -0.028     0.033    -0.002     0.003     0.000     0.000     0.000     0.000    -0.002     0.008     0.000     0.000
     9    57.290GHz     1         8953         8953   210.947   210.947    -0.163     0.258     0.003     0.171     0.340     0.253    -0.167     0.193    -0.061     0.163    -0.057     0.000     0.000     0.000    -0.075     0.128     0.012     0.018     0.010     0.017     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8953         8953   213.743   213.743    -0.049     0.328     0.001     0.192     0.400     0.229    -0.050     0.265    -0.022     0.170    -0.005     0.000     0.000     0.000    -0.053     0.224     0.026     0.029     0.003     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8953         8953   227.091   227.091     0.221     0.399     0.007     0.331     1.000     0.109     0.214     0.220    -0.019     0.172     0.289     0.000     0.000     0.000    -0.061     0.139     0.000     0.001     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    13    57.290GHz     1         8949         8949   236.993   236.993     0.337     0.512    -0.004     0.467     1.500     0.097     0.340     0.210    -0.022     0.179     0.411     0.000     0.000     0.000    -0.050     0.113     0.003     0.005    -0.003     0.004     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8953         4499   238.140   234.339     3.649     4.111     0.193     2.171     5.189     0.215     3.456     3.529    -7.010     4.606    16.848     0.000     0.000     0.000     0.173     0.635    -0.203     0.230    -5.620     5.840     0.000     0.000     0.000     0.000    -0.733     2.620     0.000     0.000
