!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052718      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8953         4830   200.918   181.998     3.569     3.175     0.215     1.933     4.585     0.196     3.353     2.257    -5.035     3.313    11.890     0.000     0.000     0.000     0.023     0.079    -0.007     0.009    -3.129     3.335     0.000     0.000     0.000     0.000    -0.389     1.552     0.000     0.000
     2    31.400GHz    -1         8953         5038   191.996   171.781     3.040     3.794     0.283     1.300     4.774     0.084     2.757     3.421    -7.591     4.971    15.915     0.000     0.000     0.000     0.017     0.120    -0.006     0.008    -5.051     5.453     0.000     0.000     0.000     0.000    -0.527     2.126     0.000     0.000
     3    50.300GHz    -1         8953         5027   239.135   233.171     2.780     2.321     0.098     1.089     3.470     0.111     2.683     2.022    -5.209     3.449    11.232     0.000     0.000     0.000     0.039     0.179    -0.012     0.015    -3.152     3.393     0.000     0.000     0.000     0.000    -0.215     0.880     0.000     0.000
     4    52.799GHz     1         8953         5038   255.400   255.722     0.041     0.566     0.021     0.292     1.120     0.074     0.020     0.444    -1.124     0.742     1.615     0.000     0.000     0.000     0.002     0.006     0.059     0.061    -0.542     0.585     0.000     0.000     0.000     0.000     0.010     0.042     0.000     0.000
     5    53.595GHz     1         8953         5038   248.786   249.674     0.084     0.311     0.017     0.186     0.443     0.194     0.067     0.240    -0.289     0.202     0.440     0.000     0.000     0.000    -0.068     0.117     0.009     0.008    -0.028     0.030     0.000     0.000     0.000     0.000     0.002     0.010     0.000     0.000
     6    54.400GHz    -1         8953         8458   232.019   232.507    -2.153     0.656     0.008     0.211     0.254     0.737    -2.161     0.623     0.137     0.238    -1.968     0.000     0.000     0.000    -0.384     0.626     0.060     0.054    -0.000     0.000     0.000     0.000     0.000     0.000    -0.006     0.012     0.000     0.000
     7    54.941GHz     1         8953         8951   223.913   223.912    -0.053     0.342     0.010     0.151     0.252     0.357    -0.062     0.301     0.271     0.236    -0.222     0.000     0.000     0.000    -0.114     0.181     0.002     0.002     0.002     0.004     0.000     0.000     0.000     0.000    -0.002     0.005     0.000     0.000
     8    55.499GHz     1         8953         8953   216.587   216.587    -0.045     0.267     0.005     0.149     0.275     0.292    -0.050     0.209    -0.089     0.099     0.185     0.000     0.000     0.000    -0.123     0.175    -0.019     0.023    -0.002     0.003     0.000     0.000     0.000     0.000    -0.002     0.008     0.000     0.000
     9    57.290GHz     1         8953         8951   210.947   210.948    -0.144     0.273     0.022     0.190     0.340     0.318    -0.167     0.193    -0.061     0.163    -0.057     0.000     0.000     0.000    -0.076     0.130     0.014     0.021     0.010     0.017     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8953         8953   213.743   213.743    -0.019     0.339     0.032     0.206     0.400     0.272    -0.051     0.263    -0.021     0.170    -0.006     0.000     0.000     0.000    -0.054     0.222     0.025     0.028     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8953         8953   227.091   227.091     0.284     0.434     0.073     0.355     1.000     0.131     0.211     0.218    -0.020     0.170     0.288     0.000     0.000     0.000    -0.062     0.138     0.000     0.001     0.003     0.005     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    13    57.290GHz     1         8949         8949   236.993   236.993     0.418     0.564     0.077     0.511     1.500     0.119     0.341     0.208    -0.022     0.179     0.411     0.000     0.000     0.000    -0.050     0.108     0.003     0.005    -0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8953         4475   238.140   233.649     3.937     4.231     0.228     2.185     5.168     0.220     3.709     3.668    -6.910     4.622    16.848     0.000     0.000     0.000     0.182     0.635    -0.204     0.231    -5.548     5.859     0.000     0.000     0.000     0.000    -0.660     2.502     0.000     0.000
