!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050400      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8951         4038   212.974   190.544     3.094     3.003     0.062     1.827     4.749     0.169     3.031     2.323    -5.222     3.218    11.826     0.000     0.000     0.000     0.003     0.046     0.034     0.042    -2.930     3.243     0.000     0.000     0.000     0.000    -0.680     1.995     0.000     0.000
     2    31.400GHz    -1         8951         4182   203.046   177.099     2.475     3.713     0.207     1.322     4.928     0.080     2.267     3.443    -7.861     4.858    15.828     0.000     0.000     0.000    -0.001     0.119     0.024     0.029    -4.812     5.342     0.000     0.000     0.000     0.000    -0.910     2.706     0.000     0.000
     3    50.300GHz    -1         8951         4177   242.737   235.869     2.521     2.354     0.098     1.107     3.583     0.110     2.423     1.990    -5.417     3.387    11.206     0.000     0.000     0.000     0.068     0.268    -0.044     0.055    -3.008     3.329     0.000     0.000     0.000     0.000    -0.381     1.137     0.000     0.000
     4    52.799GHz     1         8951         4182   256.288   257.617     0.002     0.573    -0.005     0.299     1.182     0.074     0.007     0.459    -1.181     0.738     1.612     0.000     0.000     0.000     0.016     0.032     0.054     0.053    -0.511     0.567     0.000     0.000     0.000     0.000     0.018     0.054     0.000     0.000
     5    53.595GHz     1         8951         4182   249.418   251.244     0.045     0.318    -0.014     0.198     0.465     0.211     0.058     0.242    -0.295     0.195     0.445     0.000     0.000     0.000    -0.082     0.116     0.004     0.003    -0.018     0.020     0.000     0.000     0.000     0.000     0.004     0.014     0.000     0.000
     6    54.400GHz    -1         8951         8355   232.960   233.314    -2.073     0.711    -0.019     0.192     0.264     0.592    -2.054     0.667     0.154     0.250    -1.902     0.000     0.000     0.000    -0.345     0.669     0.032     0.027     0.022     0.036     0.000     0.000     0.000     0.000    -0.015     0.028     0.000     0.000
     7    54.941GHz     1         8951         8948   224.894   224.894    -0.066     0.353     0.001     0.149     0.255     0.344    -0.067     0.324     0.276     0.241    -0.231     0.000     0.000     0.000    -0.112     0.210    -0.000     0.000     0.001     0.002     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8951         8951   217.615   217.615    -0.066     0.296     0.012     0.151     0.275     0.305    -0.078     0.259    -0.092     0.102     0.178     0.000     0.000     0.000    -0.134     0.224    -0.025     0.027    -0.002     0.004     0.000     0.000     0.000     0.000    -0.003     0.014     0.000     0.000
     9    57.290GHz     1         8951         8951   211.838   211.838    -0.154     0.265     0.028     0.195     0.340     0.336    -0.182     0.181    -0.057     0.166    -0.076     0.000     0.000     0.000    -0.061     0.091     0.000     0.001     0.007     0.014     0.000     0.000     0.000     0.000     0.004     0.010     0.000     0.000
    10    57.290GHz     1         8951         8950   214.830   214.830    -0.037     0.337     0.018     0.212     0.400     0.283    -0.055     0.250    -0.023     0.174    -0.022     0.000     0.000     0.000    -0.033     0.195     0.022     0.022     0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8950         8950   228.959   228.959     0.215     0.430     0.001     0.346     1.000     0.120     0.214     0.231    -0.028     0.175     0.276     0.000     0.000     0.000    -0.042     0.151     0.009     0.011    -0.001     0.001     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
    13    57.290GHz     1         8945         8945   239.432   239.432     0.377     0.533     0.038     0.482     1.500     0.104     0.339     0.220    -0.029     0.177     0.400     0.000     0.000     0.000    -0.025     0.125    -0.001     0.002    -0.004     0.008     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8951         3738   241.846   238.458     3.197     4.331     0.180     2.179     5.271     0.214     3.017     3.671    -7.211     4.518    16.841     0.000     0.000     0.000     0.065     0.692    -0.310     0.325    -5.277     5.755     0.000     0.000     0.000     0.000    -1.091     3.070     0.000     0.000
