!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050912      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8963         4340   211.295   186.424     3.334     3.254     0.120     1.921     4.630     0.192     3.214     2.369    -5.171     3.290    11.821     0.000     0.000     0.000     0.020     0.109    -0.001     0.001    -2.842     3.253     0.000     0.000     0.000     0.000    -0.614     1.946     0.000     0.000
     2    31.400GHz    -1         8963         4511   202.728   175.556     2.857     3.826     0.247     1.351     4.785     0.088     2.610     3.512    -7.740     4.930    15.849     0.000     0.000     0.000     0.012     0.152    -0.002     0.003    -4.665     5.320     0.000     0.000     0.000     0.000    -0.845     2.690     0.000     0.000
     3    50.300GHz    -1         8963         4505   243.144   234.793     2.653     2.371     0.010     1.113     3.488     0.116     2.643     2.012    -5.334     3.430    11.213     0.000     0.000     0.000     0.046     0.237    -0.036     0.045    -2.913     3.320     0.000     0.000     0.000     0.000    -0.333     1.064     0.000     0.000
     4    52.799GHz     1         8963         4511   256.132   256.080     0.030     0.587    -0.012     0.298     1.146     0.076     0.042     0.465    -1.155     0.740     1.617     0.000     0.000     0.000     0.008     0.022     0.053     0.052    -0.493     0.563     0.000     0.000     0.000     0.000     0.013     0.042     0.000     0.000
     5    53.595GHz     1         8963         4511   249.019   249.807     0.067     0.318     0.000     0.194     0.455     0.203     0.066     0.244    -0.292     0.195     0.443     0.000     0.000     0.000    -0.065     0.118    -0.003     0.002    -0.020     0.023     0.000     0.000     0.000     0.000     0.003     0.012     0.000     0.000
     6    54.400GHz    -1         8963         8501   232.470   232.684    -2.070     0.696    -0.010     0.196     0.265     0.617    -2.060     0.666     0.144     0.242    -1.925     0.000     0.000     0.000    -0.330     0.683     0.057     0.049     0.011     0.018     0.000     0.000     0.000     0.000    -0.017     0.033     0.000     0.000
     7    54.941GHz     1         8963         8960   224.502   224.501    -0.050     0.348     0.006     0.144     0.255     0.320    -0.056     0.311     0.273     0.238    -0.232     0.000     0.000     0.000    -0.105     0.202     0.008     0.008     0.001     0.002     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8963         8963   217.345   217.345    -0.041     0.284     0.012     0.143     0.275     0.272    -0.053     0.240    -0.090     0.100     0.182     0.000     0.000     0.000    -0.124     0.210    -0.017     0.020    -0.002     0.003     0.000     0.000     0.000     0.000    -0.003     0.012     0.000     0.000
     9    57.290GHz     1         8963         8963   211.697   211.697    -0.157     0.262     0.024     0.191     0.340     0.321    -0.181     0.185    -0.058     0.163    -0.073     0.000     0.000     0.000    -0.066     0.099     0.004     0.006     0.007     0.015     0.000     0.000     0.000     0.000     0.005     0.012     0.000     0.000
    10    57.290GHz     1         8963         8963   214.599   214.599    -0.033     0.338     0.033     0.209     0.400     0.279    -0.066     0.255    -0.022     0.173    -0.023     0.000     0.000     0.000    -0.041     0.201     0.019     0.022     0.000     0.001     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8962         8962   228.121   228.121     0.177     0.427    -0.005     0.346     1.000     0.120     0.183     0.221    -0.030     0.169     0.271     0.000     0.000     0.000    -0.069     0.157     0.010     0.017    -0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8955         8955   237.907   237.907     0.315     0.580     0.025     0.524     1.500     0.122     0.290     0.206    -0.036     0.174     0.391     0.000     0.000     0.000    -0.063     0.116     0.004     0.006    -0.005     0.010     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8963         4022   242.345   235.768     3.471     4.201    -0.028     2.209     5.180     0.223     3.499     3.659    -6.995     4.638    16.848     0.000     0.000     0.000     0.136     0.678    -0.278     0.282    -5.223     5.777     0.000     0.000     0.000     0.000    -0.989     2.974     0.000     0.000
