!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019053006      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8952         4608   206.436   185.024     3.215     3.032     0.091     1.926     4.638     0.193     3.124     2.267    -5.269     3.262    11.903     0.000     0.000     0.000     0.018     0.080     0.002     0.002    -3.041     3.347     0.000     0.000     0.000     0.000    -0.489     1.687     0.000     0.000
     2    31.400GHz    -1         8952         4828   197.194   173.659     2.662     3.759     0.204     1.337     4.828     0.087     2.458     3.466    -7.865     4.880    15.931     0.000     0.000     0.000     0.011     0.121     0.002     0.003    -4.977     5.451     0.000     0.000     0.000     0.000    -0.644     2.269     0.000     0.000
     3    50.300GHz    -1         8952         4818   242.304   234.194     2.581     2.358     0.029     1.101     3.503     0.111     2.552     2.019    -5.387     3.383    11.241     0.000     0.000     0.000     0.048     0.173    -0.011     0.014    -3.096     3.384     0.000     0.000     0.000     0.000    -0.243     0.862     0.000     0.000
     4    52.799GHz     1         8952         4828   257.285   256.395    -0.014     0.565    -0.018     0.295     1.132     0.075     0.004     0.456    -1.166     0.730     1.620     0.000     0.000     0.000     0.004     0.008     0.057     0.057    -0.529     0.579     0.000     0.000     0.000     0.000     0.018     0.065     0.000     0.000
     5    53.595GHz     1         8952         4828   250.009   250.107     0.043     0.312    -0.009     0.190     0.445     0.206     0.052     0.238    -0.298     0.199     0.444     0.000     0.000     0.000    -0.075     0.113     0.005     0.005    -0.026     0.029     0.000     0.000     0.000     0.000     0.002     0.008     0.000     0.000
     6    54.400GHz    -1         8952         8637   232.767   233.001    -2.167     0.641     0.017     0.206     0.247     0.725    -2.183     0.594     0.136     0.238    -1.967     0.000     0.000     0.000    -0.394     0.591     0.053     0.049     0.001     0.001     0.000     0.000     0.000     0.000    -0.012     0.021     0.000     0.000
     7    54.941GHz     1         8952         8950   224.545   224.544    -0.062     0.340     0.003     0.146     0.251     0.338    -0.065     0.298     0.270     0.237    -0.219     0.000     0.000     0.000    -0.112     0.170    -0.005     0.006     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     8    55.499GHz     1         8952         8952   217.252   217.252    -0.039     0.261     0.008     0.147     0.275     0.288    -0.046     0.210    -0.088     0.098     0.186     0.000     0.000     0.000    -0.120     0.174    -0.022     0.026    -0.001     0.002     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     9    57.290GHz     1         8952         8952   211.818   211.818    -0.125     0.265     0.039     0.187     0.340     0.315    -0.164     0.184    -0.061     0.162    -0.058     0.000     0.000     0.000    -0.071     0.118     0.012     0.019     0.010     0.017     0.000     0.000     0.000     0.000     0.004     0.013     0.000     0.000
    10    57.290GHz     1         8952         8952   214.745   214.745    -0.001     0.340     0.056     0.208     0.400     0.290    -0.057     0.253    -0.022     0.172    -0.007     0.000     0.000     0.000    -0.046     0.199     0.015     0.017     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8950         8950   228.351   228.351     0.312     0.445     0.084     0.363     1.000     0.139     0.227     0.218    -0.020     0.171     0.291     0.000     0.000     0.000    -0.048     0.128    -0.002     0.003     0.004     0.006     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    13    57.290GHz     1         8949         8949   238.689   238.689     0.477     0.545     0.104     0.501     1.500     0.117     0.373     0.217    -0.023     0.182     0.413     0.000     0.000     0.000    -0.021     0.112     0.004     0.007    -0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8952         4256   242.283   235.521     3.441     4.111     0.057     2.220     5.200     0.227     3.384     3.557    -7.134     4.526    16.856     0.000     0.000     0.000     0.156     0.673    -0.195     0.224    -5.484     5.808     0.000     0.000     0.000     0.000    -0.815     2.688     0.000     0.000
