!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051700      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8824         3927   214.933   188.868     3.218     2.938     0.098     1.839     4.711     0.174     3.120     2.257    -5.192     3.253    11.863     0.000     0.000     0.000     0.015     0.120     0.006     0.007    -2.898     3.292     0.000     0.000     0.000     0.000    -0.674     1.985     0.000     0.000
     2    31.400GHz    -1         8824         4068   206.030   177.292     2.653     3.638     0.233     1.351     4.889     0.084     2.421     3.362    -7.799     4.891    15.874     0.000     0.000     0.000     0.003     0.169     0.005     0.007    -4.735     5.388     0.000     0.000     0.000     0.000    -0.928     2.734     0.000     0.000
     3    50.300GHz    -1         8824         4056   243.853   235.646     2.601     2.298     0.007     1.090     3.554     0.108     2.594     1.956    -5.377     3.418    11.224     0.000     0.000     0.000     0.066     0.244    -0.020     0.025    -2.948     3.348     0.000     0.000     0.000     0.000    -0.350     1.044     0.000     0.000
     4    52.799GHz     1         8824         4068   255.963   256.596     0.017     0.629    -0.033     0.300     1.178     0.077     0.050     0.502    -1.161     0.736     1.619     0.000     0.000     0.000     0.009     0.020     0.057     0.058    -0.503     0.573     0.000     0.000     0.000     0.000     0.030     0.090     0.000     0.000
     5    53.595GHz     1         8824         4068   248.756   250.080     0.029     0.323    -0.030     0.194     0.468     0.206     0.059     0.248    -0.296     0.199     0.443     0.000     0.000     0.000    -0.077     0.113     0.004     0.004    -0.023     0.026     0.000     0.000     0.000     0.000     0.007     0.021     0.000     0.000
     6    54.400GHz    -1         8824         8209   232.141   232.539    -2.133     0.703    -0.022     0.217     0.267     0.762    -2.111     0.648     0.142     0.241    -1.945     0.000     0.000     0.000    -0.347     0.652     0.049     0.044     0.005     0.009     0.000     0.000     0.000     0.000    -0.015     0.028     0.000     0.000
     7    54.941GHz     1         8824         8822   224.114   224.115    -0.068     0.347    -0.000     0.150     0.255     0.347    -0.067     0.310     0.273     0.236    -0.230     0.000     0.000     0.000    -0.107     0.192    -0.004     0.004     0.001     0.003     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8824         8824   216.871   216.871    -0.054     0.277     0.001     0.148     0.275     0.291    -0.055     0.230    -0.090     0.100     0.186     0.000     0.000     0.000    -0.120     0.190    -0.026     0.030    -0.001     0.002     0.000     0.000     0.000     0.000    -0.003     0.013     0.000     0.000
     9    57.290GHz     1         8824         8824   211.195   211.195    -0.144     0.276     0.039     0.191     0.340     0.330    -0.183     0.190    -0.060     0.164    -0.070     0.000     0.000     0.000    -0.078     0.122     0.011     0.018     0.008     0.016     0.000     0.000     0.000     0.000     0.006     0.014     0.000     0.000
    10    57.290GHz     1         8824         8824   214.023   214.023    -0.020     0.351     0.052     0.205     0.400     0.280    -0.072     0.265    -0.022     0.174    -0.020     0.000     0.000     0.000    -0.047     0.209     0.013     0.015     0.001     0.003     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8821         8821   227.835   227.835     0.250     0.422     0.034     0.347     1.000     0.122     0.216     0.220    -0.025     0.166     0.277     0.000     0.000     0.000    -0.040     0.144     0.002     0.003     0.002     0.005     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    13    57.290GHz     1         8818         8818   238.375   238.375     0.407     0.551     0.046     0.504     1.500     0.114     0.361     0.205    -0.026     0.179     0.403     0.000     0.000     0.000    -0.018     0.103     0.004     0.005    -0.001     0.003     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8824         3675   242.761   237.235     3.412     4.123     0.143     2.157     5.244     0.214     3.269     3.531    -7.036     4.558    16.882     0.000     0.000     0.000     0.091     0.677    -0.310     0.316    -5.256     5.785     0.000     0.000     0.000     0.000    -1.102     3.084     0.000     0.000
