!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052618      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8764         4776   203.236   183.253     3.209     2.959     0.100     1.856     4.640     0.177     3.109     2.164    -5.189     3.304    11.875     0.000     0.000     0.000     0.021     0.086    -0.016     0.022    -3.118     3.343     0.000     0.000     0.000     0.000    -0.464     1.696     0.000     0.000
     2    31.400GHz    -1         8764         4920   194.499   172.500     2.634     3.538     0.208     1.293     4.835     0.078     2.425     3.221    -7.771     4.976    15.907     0.000     0.000     0.000     0.016     0.125    -0.011     0.016    -5.076     5.439     0.000     0.000     0.000     0.000    -0.639     2.341     0.000     0.000
     3    50.300GHz    -1         8764         4902   240.048   233.479     2.580     2.217     0.061     1.091     3.513     0.110     2.519     1.889    -5.317     3.436    11.240     0.000     0.000     0.000     0.037     0.186    -0.013     0.018    -3.169     3.378     0.000     0.000     0.000     0.000    -0.258     0.954     0.000     0.000
     4    52.799GHz     1         8764         4920   255.607   255.926     0.001     0.537     0.002     0.264     1.141     0.060    -0.001     0.442    -1.149     0.739     1.615     0.000     0.000     0.000     0.002     0.006     0.061     0.064    -0.544     0.583     0.000     0.000     0.000     0.000     0.012     0.046     0.000     0.000
     5    53.595GHz     1         8764         4920   248.928   249.851     0.066     0.297     0.002     0.168     0.452     0.157     0.064     0.239    -0.293     0.200     0.442     0.000     0.000     0.000    -0.069     0.119     0.008     0.007    -0.027     0.029     0.000     0.000     0.000     0.000     0.003     0.012     0.000     0.000
     6    54.400GHz    -1         8764         8320   232.317   232.803    -2.120     0.667     0.014     0.193     0.257     0.610    -2.135     0.634     0.134     0.238    -1.968     0.000     0.000     0.000    -0.357     0.638     0.062     0.054     0.000     0.001     0.000     0.000     0.000     0.000    -0.005     0.010     0.000     0.000
     7    54.941GHz     1         8764         8763   224.300   224.300    -0.057     0.335     0.005     0.135     0.252     0.286    -0.062     0.307     0.270     0.237    -0.222     0.000     0.000     0.000    -0.109     0.189    -0.003     0.003     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8764         8764   217.108   217.108    -0.050     0.256     0.000     0.130     0.275     0.223    -0.050     0.221    -0.090     0.099     0.184     0.000     0.000     0.000    -0.114     0.181    -0.027     0.032    -0.001     0.003     0.000     0.000     0.000     0.000    -0.002     0.008     0.000     0.000
     9    57.290GHz     1         8764         8764   211.684   211.684    -0.169     0.256    -0.001     0.169     0.340     0.246    -0.168     0.193    -0.061     0.165    -0.060     0.000     0.000     0.000    -0.071     0.123     0.010     0.015     0.009     0.016     0.000     0.000     0.000     0.000     0.005     0.013     0.000     0.000
    10    57.290GHz     1         8764         8764   214.537   214.537    -0.053     0.322     0.003     0.192     0.400     0.230    -0.057     0.259    -0.021     0.170    -0.006     0.000     0.000     0.000    -0.050     0.209     0.016     0.017     0.003     0.005     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8764         8764   228.150   228.150     0.226     0.398     0.001     0.331     1.000     0.110     0.225     0.222    -0.021     0.169     0.287     0.000     0.000     0.000    -0.047     0.145     0.001     0.002     0.003     0.005     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    13    57.290GHz     1         8761         8761   238.374   238.374     0.353     0.534     0.001     0.480     1.500     0.102     0.352     0.216    -0.023     0.177     0.410     0.000     0.000     0.000    -0.037     0.126     0.003     0.006    -0.002     0.003     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8764         4447   238.800   233.676     3.641     4.038     0.211     2.186     5.222     0.217     3.430     3.506    -7.063     4.619    16.852     0.000     0.000     0.000     0.183     0.685    -0.231     0.271    -5.524     5.857     0.000     0.000     0.000     0.000    -0.787     2.732     0.000     0.000
