!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051806      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8948         4816   205.242   184.366     3.137     2.929     0.035     1.851     4.664     0.175     3.102     2.184    -5.092     3.268    11.853     0.000     0.000     0.000     0.027     0.109    -0.003     0.004    -3.156     3.327     0.000     0.000     0.000     0.000    -0.527     1.774     0.000     0.000
     2    31.400GHz    -1         8948         4993   196.114   173.638     2.599     3.621     0.187     1.312     4.870     0.080     2.411     3.336    -7.643     4.910    15.880     0.000     0.000     0.000     0.018     0.152    -0.001     0.001    -5.130     5.425     0.000     0.000     0.000     0.000    -0.714     2.422     0.000     0.000
     3    50.300GHz    -1         8948         4984   241.381   233.958     2.576     2.287     0.052     1.044     3.526     0.098     2.524     1.932    -5.259     3.420    11.225     0.000     0.000     0.000     0.046     0.209    -0.023     0.030    -3.192     3.367     0.000     0.000     0.000     0.000    -0.272     0.934     0.000     0.000
     4    52.799GHz     1         8948         4993   256.655   256.203     0.003     0.553    -0.003     0.288     1.140     0.071     0.006     0.458    -1.138     0.737     1.617     0.000     0.000     0.000     0.006     0.013     0.048     0.050    -0.544     0.576     0.000     0.000     0.000     0.000     0.018     0.062     0.000     0.000
     5    53.595GHz     1         8948         4993   249.653   250.104     0.077     0.305     0.013     0.187     0.448     0.196     0.064     0.241    -0.288     0.197     0.444     0.000     0.000     0.000    -0.070     0.114     0.001     0.001    -0.026     0.027     0.000     0.000     0.000     0.000     0.003     0.012     0.000     0.000
     6    54.400GHz    -1         8948         8591   232.718   232.933    -2.087     0.677     0.041     0.200     0.248     0.712    -2.129     0.633     0.141     0.238    -1.945     0.000     0.000     0.000    -0.370     0.633     0.048     0.045     0.005     0.008     0.000     0.000     0.000     0.000    -0.008     0.014     0.000     0.000
     7    54.941GHz     1         8948         8946   224.581   224.581    -0.045     0.346     0.028     0.146     0.251     0.352    -0.073     0.313     0.271     0.236    -0.227     0.000     0.000     0.000    -0.112     0.192    -0.007     0.007     0.002     0.004     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
     8    55.499GHz     1         8948         8948   217.367   217.367    -0.024     0.285     0.028     0.146     0.275     0.293    -0.052     0.238    -0.089     0.099     0.186     0.000     0.000     0.000    -0.117     0.195    -0.030     0.034    -0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
     9    57.290GHz     1         8948         8946   212.024   212.026    -0.138     0.259     0.024     0.187     0.340     0.306    -0.162     0.182    -0.059     0.164    -0.068     0.000     0.000     0.000    -0.060     0.107     0.011     0.017     0.010     0.017     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8948         8948   215.139   215.139    -0.015     0.319     0.041     0.206     0.400     0.275    -0.055     0.250    -0.022     0.172    -0.019     0.000     0.000     0.000    -0.033     0.192     0.015     0.015     0.002     0.004     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8946         8946   228.976   228.976     0.251     0.435     0.050     0.345     1.000     0.122     0.200     0.229    -0.024     0.166     0.279     0.000     0.000     0.000    -0.061     0.151     0.002     0.004     0.004     0.006     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    13    57.290GHz     1         8941         8941   239.017   239.017     0.376     0.550     0.042     0.488     1.500     0.106     0.334     0.214    -0.026     0.170     0.400     0.000     0.000     0.000    -0.042     0.128     0.004     0.008    -0.001     0.002     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8948         4492   240.541   234.600     3.539     4.051     0.192     2.108     5.247     0.200     3.347     3.446    -6.961     4.571    16.890     0.000     0.000     0.000     0.166     0.651    -0.261     0.298    -5.614     5.815     0.000     0.000     0.000     0.000    -0.872     2.801     0.000     0.000
