!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052318      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8950         4773   200.999   182.099     3.340     2.975     0.016     1.860     4.589     0.178     3.324     2.183    -5.058     3.296    11.896     0.000     0.000     0.000     0.033     0.121    -0.012     0.016    -3.120     3.269     0.000     0.000     0.000     0.000    -0.415     1.599     0.000     0.000
     2    31.400GHz    -1         8950         5003   191.878   171.964     2.883     3.619     0.195     1.288     4.771     0.079     2.688     3.273    -7.595     4.913    15.918     0.000     0.000     0.000     0.018     0.145    -0.011     0.016    -5.070     5.341     0.000     0.000     0.000     0.000    -0.572     2.227     0.000     0.000
     3    50.300GHz    -1         8950         4993   239.139   233.143     2.625     2.298     0.002     1.122     3.469     0.116     2.623     1.930    -5.243     3.444    11.234     0.000     0.000     0.000     0.043     0.195    -0.019     0.025    -3.156     3.321     0.000     0.000     0.000     0.000    -0.236     0.926     0.000     0.000
     4    52.799GHz     1         8950         5003   255.451   255.697    -0.019     0.547    -0.025     0.291     1.121     0.075     0.006     0.436    -1.138     0.746     1.617     0.000     0.000     0.000     0.003     0.007     0.053     0.057    -0.538     0.567     0.000     0.000     0.000     0.000     0.009     0.034     0.000     0.000
     5    53.595GHz     1         8950         5003   248.869   249.681     0.056     0.308    -0.013     0.190     0.444     0.202     0.068     0.238    -0.292     0.203     0.442     0.000     0.000     0.000    -0.067     0.114     0.009     0.009    -0.026     0.027     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
     6    54.400GHz    -1         8950         8477   232.162   232.620    -2.129     0.647     0.007     0.208     0.254     0.724    -2.136     0.620     0.136     0.238    -1.962     0.000     0.000     0.000    -0.373     0.628     0.067     0.062     0.002     0.003     0.000     0.000     0.000     0.000    -0.005     0.012     0.000     0.000
     7    54.941GHz     1         8950         8948   224.076   224.076    -0.055     0.348     0.001     0.150     0.252     0.355    -0.056     0.303     0.272     0.235    -0.223     0.000     0.000     0.000    -0.111     0.187     0.005     0.005     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.004     0.000     0.000
     8    55.499GHz     1         8950         8950   216.833   216.833    -0.043     0.274     0.004     0.145     0.275     0.277    -0.048     0.224    -0.089     0.099     0.187     0.000     0.000     0.000    -0.118     0.186    -0.023     0.027    -0.002     0.003     0.000     0.000     0.000     0.000    -0.002     0.009     0.000     0.000
     9    57.290GHz     1         8950         8950   211.361   211.361    -0.156     0.260     0.012     0.186     0.340     0.301    -0.168     0.188    -0.060     0.164    -0.065     0.000     0.000     0.000    -0.069     0.118     0.012     0.018     0.010     0.017     0.000     0.000     0.000     0.000     0.004     0.012     0.000     0.000
    10    57.290GHz     1         8950         8950   214.200   214.200    -0.047     0.334     0.020     0.208     0.400     0.274    -0.067     0.262    -0.021     0.175    -0.016     0.000     0.000     0.000    -0.053     0.213     0.019     0.020     0.002     0.004     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8948         8948   227.186   227.186     0.210     0.430     0.022     0.343     1.000     0.118     0.188     0.233    -0.027     0.167     0.275     0.000     0.000     0.000    -0.068     0.171     0.005     0.010     0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    13    57.290GHz     1         8947         8947   237.147   237.147     0.346     0.553     0.015     0.494     1.500     0.108     0.330     0.210    -0.027     0.173     0.395     0.000     0.000     0.000    -0.044     0.123     0.012     0.019    -0.005     0.008     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8950         4452   238.421   233.396     3.648     4.085     0.031     2.227     5.160     0.230     3.617     3.549    -6.946     4.624    16.873     0.000     0.000     0.000     0.178     0.661    -0.232     0.276    -5.539     5.750     0.000     0.000     0.000     0.000    -0.718     2.628     0.000     0.000
