!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050200      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8950         4176   212.750   188.343     3.227     2.918     0.114     1.805     4.648     0.169     3.112     2.196    -5.140     3.261    11.795     0.000     0.000     0.000     0.003     0.022     0.019     0.023    -2.934     3.179     0.000     0.000     0.000     0.000    -0.630     1.900     0.000     0.000
     2    31.400GHz    -1         8950         4323   203.404   176.175     2.767     3.503     0.233     1.301     4.812     0.079     2.534     3.247    -7.634     4.833    15.803     0.000     0.000     0.000     0.004     0.104     0.017     0.022    -4.818     5.250     0.000     0.000     0.000     0.000    -0.839     2.565     0.000     0.000
     3    50.300GHz    -1         8950         4314   242.726   235.129     2.592     2.244     0.020     1.119     3.508     0.113     2.572     1.925    -5.284     3.405    11.203     0.000     0.000     0.000     0.051     0.258    -0.046     0.059    -3.018     3.283     0.000     0.000     0.000     0.000    -0.333     1.027     0.000     0.000
     4    52.799GHz     1         8950         4323   255.916   256.848     0.012     0.598    -0.010     0.309     1.154     0.080     0.022     0.486    -1.158     0.747     1.608     0.000     0.000     0.000     0.013     0.032     0.052     0.053    -0.518     0.564     0.000     0.000     0.000     0.000     0.026     0.080     0.000     0.000
     5    53.595GHz     1         8950         4323   249.076   250.646     0.060     0.318    -0.009     0.202     0.457     0.218     0.069     0.246    -0.292     0.200     0.439     0.000     0.000     0.000    -0.072     0.116     0.007     0.006    -0.020     0.022     0.000     0.000     0.000     0.000     0.007     0.023     0.000     0.000
     6    54.400GHz    -1         8950         8374   232.774   233.137    -2.029     0.683    -0.030     0.184     0.263     0.534    -1.999     0.668     0.158     0.251    -1.884     0.000     0.000     0.000    -0.319     0.648     0.014     0.011     0.025     0.043     0.000     0.000     0.000     0.000     0.009     0.016     0.000     0.000
     7    54.941GHz     1         8950         8947   224.720   224.720    -0.062     0.353     0.004     0.146     0.256     0.330    -0.066     0.319     0.276     0.239    -0.232     0.000     0.000     0.000    -0.110     0.206     0.001     0.001     0.001     0.001     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8950         8950   217.410   217.410    -0.078     0.298     0.007     0.151     0.275     0.303    -0.085     0.255    -0.093     0.101     0.175     0.000     0.000     0.000    -0.134     0.218    -0.027     0.029    -0.002     0.004     0.000     0.000     0.000     0.000    -0.003     0.013     0.000     0.000
     9    57.290GHz     1         8950         8949   211.479   211.479    -0.170     0.270     0.006     0.195     0.340     0.328    -0.176     0.183    -0.055     0.168    -0.071     0.000     0.000     0.000    -0.064     0.092     0.004     0.005     0.007     0.014     0.000     0.000     0.000     0.000     0.005     0.012     0.000     0.000
    10    57.290GHz     1         8950         8950   214.367   214.367    -0.052     0.339     0.020     0.206     0.400     0.269    -0.072     0.255    -0.025     0.176    -0.024     0.000     0.000     0.000    -0.039     0.198     0.016     0.014    -0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.001     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8949         8949   227.948   227.948     0.184     0.433    -0.001     0.348     1.000     0.121     0.185     0.220    -0.032     0.173     0.273     0.000     0.000     0.000    -0.060     0.145     0.007     0.008    -0.001     0.003     0.000     0.000     0.000     0.000    -0.002     0.004     0.000     0.000
    13    57.290GHz     1         8942         8942   238.015   238.015     0.324     0.551     0.005     0.490     1.500     0.107     0.319     0.214    -0.034     0.175     0.396     0.000     0.000     0.000    -0.040     0.119     0.004     0.006    -0.005     0.010     0.000     0.000     0.000     0.000    -0.002     0.004     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8950         3890   241.390   236.474     3.291     4.001    -0.042     2.142     5.163     0.215     3.333     3.508    -7.009     4.571    16.841     0.000     0.000     0.000     0.107     0.738    -0.329     0.347    -5.253     5.707     0.000     0.000     0.000     0.000    -1.025     2.979     0.000     0.000
