!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019050500      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8776         3888   214.572   190.157     3.285     3.195     0.198     1.903     4.748     0.185     3.087     2.408    -5.106     3.240    11.835     0.000     0.000     0.000     0.010     0.056     0.037     0.041    -2.915     3.228     0.000     0.000     0.000     0.000    -0.773     2.162     0.000     0.000
     2    31.400GHz    -1         8776         4065   205.421   177.789     2.678     3.797     0.275     1.377     4.910     0.089     2.403     3.509    -7.689     4.854    15.841     0.000     0.000     0.000     0.010     0.128     0.024     0.029    -4.758     5.301     0.000     0.000     0.000     0.000    -1.025     2.912     0.000     0.000
     3    50.300GHz    -1         8776         4053   243.470   235.772     2.622     2.396     0.105     1.139     3.572     0.118     2.516     2.010    -5.313     3.403    11.212     0.000     0.000     0.000     0.042     0.268    -0.043     0.051    -2.975     3.305     0.000     0.000     0.000     0.000    -0.407     1.168     0.000     0.000
     4    52.799GHz     1         8776         4065   256.108   257.081     0.034     0.604    -0.008     0.303     1.187     0.075     0.042     0.472    -1.159     0.743     1.616     0.000     0.000     0.000     0.013     0.034     0.056     0.055    -0.502     0.560     0.000     0.000     0.000     0.000     0.019     0.054     0.000     0.000
     5    53.595GHz     1         8776         4065   249.169   250.814     0.057     0.314    -0.024     0.189     0.471     0.190     0.081     0.243    -0.291     0.198     0.447     0.000     0.000     0.000    -0.071     0.118     0.010     0.008    -0.018     0.020     0.000     0.000     0.000     0.000     0.003     0.010     0.000     0.000
     6    54.400GHz    -1         8776         8182   232.845   233.254    -2.068     0.705    -0.037     0.198     0.270     0.631    -2.031     0.672     0.152     0.251    -1.904     0.000     0.000     0.000    -0.321     0.678     0.042     0.035     0.018     0.032     0.000     0.000     0.000     0.000    -0.018     0.031     0.000     0.000
     7    54.941GHz     1         8776         8776   224.903   224.903    -0.057     0.354    -0.004     0.145     0.255     0.325    -0.053     0.318     0.276     0.242    -0.230     0.000     0.000     0.000    -0.104     0.207     0.006     0.006     0.001     0.002     0.000     0.000     0.000     0.000    -0.002     0.006     0.000     0.000
     8    55.499GHz     1         8776         8776   217.722   217.722    -0.063     0.291     0.004     0.145     0.275     0.279    -0.066     0.251    -0.091     0.101     0.177     0.000     0.000     0.000    -0.130     0.220    -0.017     0.019    -0.002     0.004     0.000     0.000     0.000     0.000    -0.003     0.014     0.000     0.000
     9    57.290GHz     1         8776         8773   211.893   211.895    -0.165     0.267     0.022     0.193     0.340     0.326    -0.187     0.182    -0.056     0.163    -0.075     0.000     0.000     0.000    -0.070     0.098     0.003     0.004     0.007     0.014     0.000     0.000     0.000     0.000     0.005     0.012     0.000     0.000
    10    57.290GHz     1         8776         8776   214.667   214.667    -0.052     0.345     0.016     0.213     0.400     0.286    -0.069     0.256    -0.022     0.172    -0.025     0.000     0.000     0.000    -0.046     0.207     0.022     0.023     0.001     0.001     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8776         8776   228.051   228.051     0.174     0.443    -0.015     0.352     1.000     0.124     0.190     0.234    -0.026     0.174     0.274     0.000     0.000     0.000    -0.066     0.160     0.009     0.011    -0.001     0.001     0.000     0.000     0.000     0.000    -0.000     0.001     0.000     0.000
    13    57.290GHz     1         8764         8764   238.063   238.063     0.304     0.545    -0.020     0.483     1.500     0.104     0.324     0.219    -0.029     0.178     0.399     0.000     0.000     0.000    -0.044     0.124     0.002     0.003    -0.004     0.008     0.000     0.000     0.000     0.000    -0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8776         3577   242.502   238.173     3.269     4.199     0.128     2.176     5.286     0.218     3.141     3.672    -7.026     4.575    16.847     0.000     0.000     0.000     0.119     0.679    -0.290     0.285    -5.275     5.757     0.000     0.000     0.000     0.000    -1.235     3.282     0.000     0.000
