!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051200      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8958         4273   214.008   192.828     2.866     2.991     0.098     1.834     4.763     0.167     2.768     2.252    -5.228     3.211    11.848     0.000     0.000     0.000     0.008     0.123    -0.000     0.000    -3.010     3.204     0.000     0.000     0.000     0.000    -0.849     2.264     0.000     0.000
     2    31.400GHz    -1         8958         4413   204.090   179.111     2.130     3.542     0.193     1.351     4.944     0.080     1.937     3.249    -7.888     4.863    15.870     0.000     0.000     0.000    -0.002     0.155    -0.002     0.002    -4.902     5.240     0.000     0.000     0.000     0.000    -1.139     3.058     0.000     0.000
     3    50.300GHz    -1         8958         4405   243.354   236.672     2.389     2.219     0.071     1.088     3.602     0.104     2.318     1.896    -5.426     3.381    11.220     0.000     0.000     0.000     0.063     0.249    -0.034     0.047    -3.065     3.273     0.000     0.000     0.000     0.000    -0.440     1.188     0.000     0.000
     4    52.799GHz     1         8958         4413   256.454   257.651     0.030     0.595     0.004     0.279     1.204     0.063     0.026     0.502    -1.173     0.727     1.620     0.000     0.000     0.000     0.009     0.020     0.059     0.060    -0.520     0.556     0.000     0.000     0.000     0.000     0.031     0.084     0.000     0.000
     5    53.595GHz     1         8958         4413   249.405   251.086     0.053     0.309     0.002     0.174     0.479     0.157     0.051     0.249    -0.296     0.195     0.443     0.000     0.000     0.000    -0.084     0.121     0.004     0.003    -0.022     0.024     0.000     0.000     0.000     0.000     0.006     0.017     0.000     0.000
     6    54.400GHz    -1         8958         8478   232.821   233.197    -2.096     0.729     0.004     0.188     0.270     0.562    -2.100     0.688     0.146     0.243    -1.938     0.000     0.000     0.000    -0.351     0.697     0.054     0.045     0.009     0.015     0.000     0.000     0.000     0.000    -0.021     0.038     0.000     0.000
     7    54.941GHz     1         8958         8957   224.765   224.764    -0.064     0.348    -0.002     0.136     0.257     0.287    -0.062     0.321     0.276     0.240    -0.231     0.000     0.000     0.000    -0.111     0.210     0.003     0.003     0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8958         8958   217.486   217.486    -0.062     0.278    -0.001     0.133     0.275     0.233    -0.061     0.247    -0.090     0.100     0.184     0.000     0.000     0.000    -0.129     0.215    -0.022     0.024    -0.001     0.002     0.000     0.000     0.000     0.000    -0.003     0.013     0.000     0.000
     9    57.290GHz     1         8958         8958   211.810   211.810    -0.163     0.251     0.003     0.171     0.340     0.253    -0.165     0.180    -0.057     0.162    -0.067     0.000     0.000     0.000    -0.062     0.100     0.005     0.008     0.010     0.017     0.000     0.000     0.000     0.000     0.006     0.014     0.000     0.000
    10    57.290GHz     1         8958         8958   214.999   214.999    -0.041     0.324     0.000     0.193     0.400     0.233    -0.041     0.255    -0.020     0.174    -0.017     0.000     0.000     0.000    -0.024     0.197     0.017     0.019     0.002     0.003     0.000     0.000     0.000     0.000     0.002     0.005     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8957         8957   229.438   229.438     0.213     0.394     0.004     0.326     1.000     0.106     0.209     0.225    -0.026     0.169     0.271     0.000     0.000     0.000    -0.043     0.147     0.006     0.013    -0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.000
    13    57.290GHz     1         8956         8955   239.795   239.797     0.344     0.515     0.009     0.477     1.500     0.101     0.336     0.206    -0.028     0.172     0.397     0.000     0.000     0.000    -0.030     0.116     0.005     0.009    -0.006     0.011     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8958         4050   242.928   239.230     2.820     3.947     0.076     2.119     5.269     0.201     2.744     3.385    -7.253     4.541    16.846     0.000     0.000     0.000     0.073     0.696    -0.301     0.325    -5.314     5.685     0.000     0.000     0.000     0.000    -1.306     3.352     0.000     0.000
